STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
427240,99999, 20200101,   70.5,18,   63.3,18, 9999.9, 0, 9999.9, 0,   1.3,18,   0.2,18,   4.1, 999.9,   80.6*,  61.2*, 0.00I,999.9, 000000,
427240,99999, 20200102,   69.6,18,   65.1,18, 1018.7, 4, 9999.9, 0,   1.4,18,   0.3,18,   2.9, 999.9,   78.8*,  59.7 , 0.00I,999.9, 000000,
427240,99999, 20200103,   64.2,18,   62.0,18, 1017.3, 4, 9999.9, 0,   1.7,18,   1.9,18,   4.1, 999.9,   68.0*,  62.6 , 0.20G,999.9, 010010,
427240,99999, 20200104,   68.5,18,   64.0,18, 1014.8, 4, 9999.9, 0,   2.4,18,   0.0,18,   2.9, 999.9,   78.8*,  59.4*, 0.39G,999.9, 000000,
427240,99999, 20200105,   65.3,18,   61.5,18, 9999.9, 0, 9999.9, 0,   1.4,18,   0.6,18,   2.9, 999.9,   73.4*,  56.5*, 0.00G,999.9, 100000,
427240,99999, 20200106,   62.1,18,   57.7,18, 1018.3, 4, 9999.9, 0,   1.0,18,   1.1,18,   4.1, 999.9,   71.6*,  54.7*, 0.00I,999.9, 100000,
427240,99999, 20200107,   58.2,18,   56.4,18, 1016.3, 4, 9999.9, 0,   0.5,18,   0.2,18,   1.9, 999.9,   65.1 ,  51.4 , 0.00I,999.9, 100000,
427240,99999, 20200108,   59.8,18,   56.9,18, 1015.1, 4, 9999.9, 0,   1.3,18,   0.1,18,   1.9, 999.9,   66.2*,  54.1 , 0.00I,999.9, 100000,
427240,99999, 20200109,   64.1,18,   60.9,18, 1015.0, 4, 9999.9, 0,   1.0,18,   0.2,18,   2.9, 999.9,   68.0*,  57.2 , 0.00G,999.9, 110000,
427240,99999, 20200110,   65.4,18,   59.4,18, 1016.5, 4, 9999.9, 0,   1.7,18,   0.5,18,   2.9, 999.9,   77.0*,  56.5*, 0.02G,999.9, 100000,
427240,99999, 20200111,   60.4,18,   58.5,18, 9999.9, 0, 9999.9, 0,   0.6,18,   0.1,18,   1.0, 999.9,   64.6 ,  53.6 , 0.00G,999.9, 100000,
427240,99999, 20200112,   61.8,18,   58.6,18, 9999.9, 0, 9999.9, 0,   1.1,18,   0.5,18,   2.9, 999.9,   69.8*,  52.2 , 0.00I,999.9, 100000,
427240,99999, 20200113,   61.9,16,   60.0,16, 9999.9, 0, 9999.9, 0,   0.5,16,   0.1,16,   1.0, 999.9,   69.8*,  54.3 , 0.00I,999.9, 100000,
427240,99999, 20200114,   61.4,18,   58.7,18, 1014.3, 4, 9999.9, 0,   0.8,18,   0.0,18,   1.0, 999.9,   71.6*,  53.2*, 0.00I,999.9, 100000,
427240,99999, 20200115,   64.1,17,   59.1,17, 1014.9, 4, 9999.9, 0,   1.4,17,   0.7,17,   2.9, 999.9,   75.2*,  51.4 , 0.00I,999.9, 100000,
427240,99999, 20200116,   66.6,18,   58.8,18, 9999.9, 0, 9999.9, 0,   2.1,18,   0.2,18,   2.9, 999.9,   78.8*,  51.8*, 0.00I,999.9, 100000,
427240,99999, 20200117,   69.4,18,   59.4,18, 9999.9, 0, 9999.9, 0,   2.2,18,   0.6,18,   2.9, 999.9,   82.4*,  52.7 , 0.00I,999.9, 000000,
427240,99999, 20200118,   71.1,17,   60.2,17, 1014.8, 4, 9999.9, 0,   2.1,17,   0.6,17,   2.9, 999.9,   84.2*,  54.1 , 0.00I,999.9, 000000,
427240,99999, 20200119,   70.9,18,   62.1,18, 1014.6, 4, 9999.9, 0,   1.5,18,   0.6,18,   4.1, 999.9,   84.2*,  55.9 , 0.00I,999.9, 000000,
427240,99999, 20200120,   65.9,18,   59.9,18, 1017.0, 4, 9999.9, 0,   1.0,18,   0.7,18,   2.9, 999.9,   73.4*,  50.4*, 0.00I,999.9, 100000,
427240,99999, 20200121,   63.3,18,   54.3,18, 9999.9, 0, 9999.9, 0,   1.8,18,   0.0,18,   2.9, 999.9,   75.2*,  48.9 , 0.00I,999.9, 000000,
427240,99999, 20200122,   63.0,18,   53.8,18, 9999.9, 0, 9999.9, 0,   1.8,18,   0.7,18,   4.1, 999.9,   76.3*,  47.8 , 0.00I,999.9, 100000,
427240,99999, 20200123,   63.1,18,   54.6,18, 9999.9, 0, 9999.9, 0,   1.4,18,   0.1,18,   1.9, 999.9,   77.0*,  47.3 , 0.00I,999.9, 000000,
427240,99999, 20200124,   62.9,18,   54.8,18, 1016.0, 4, 9999.9, 0,   1.3,18,   0.3,18,   2.9, 999.9,   77.0*,  46.9 , 0.00I,999.9, 100000,
427240,99999, 20200125,   62.4,18,   52.9,18, 1014.4, 4, 9999.9, 0,   1.3,18,   0.6,18,   2.9, 999.9,   73.8*,  48.9 , 0.00I,999.9, 000000,
427240,99999, 20200126,   63.0,18,   56.0,18, 1013.3, 4, 9999.9, 0,   1.1,18,   0.7,18,   2.9, 999.9,   77.0*,  49.1 , 0.00I,999.9, 100000,
427240,99999, 20200127,   62.7,18,   55.6,18, 1013.1, 4, 9999.9, 0,   1.2,18,   0.7,18,   4.1, 999.9,   73.4*,  49.1 , 0.00I,999.9, 000000,
427240,99999, 20200128,   63.9,18,   56.2,18, 1015.1, 4, 9999.9, 0,   1.0,18,   0.3,18,   2.9, 999.9,   75.2*,  50.0 , 0.00I,999.9, 100000,
427240,99999, 20200129,   65.9,18,   60.5,18, 1015.8, 4, 9999.9, 0,   0.7,18,   0.2,18,   2.9, 999.9,   75.2*,  54.1 , 0.00I,999.9, 100000,
427240,99999, 20200130,   68.6,18,   60.9,18, 9999.9, 0, 9999.9, 0,   1.3,18,   0.5,18,   4.1, 999.9,   77.4*,  57.2 , 0.00I,999.9, 100000,
427240,99999, 20200131,   67.8,18,   63.9,18, 1014.3, 4, 9999.9, 0,   0.7,18,   0.8,18,   2.9, 999.9,   77.0*,  57.6*, 0.16G,999.9, 100000,
427240,99999, 20200201,   65.7,18,   57.9,18, 1016.1, 4, 9999.9, 0,   1.3,18,   0.4,18,   2.9, 999.9,   78.8*,  52.9*, 0.00G,999.9, 100000,
427240,99999, 20200202,   64.8,18,   53.4,18, 1018.1, 4, 9999.9, 0,   1.9,18,   1.3,18,   2.9, 999.9,   77.4*,  50.0*, 0.00I,999.9, 100000,
427240,99999, 20200203,   62.1,19,   49.1,19, 9999.9, 0, 9999.9, 0,   2.3,19,   0.7,19,   4.1, 999.9,   75.2*,  46.4 , 0.00I,999.9, 000000,
427240,99999, 20200204,   64.0,18,   53.5,18, 9999.9, 0, 9999.9, 0,   1.7,18,   0.3,18,   2.9, 999.9,   77.0*,  46.0 , 0.00I,999.9, 000000,
427240,99999, 20200205,   67.0,18,   56.9,18, 1014.8, 4, 9999.9, 0,   1.6,18,   0.8,18,   2.9, 999.9,   79.2*,  51.1*, 0.00I,999.9, 000000,
427240,99999, 20200206,   66.1,18,   52.0,18, 1016.2, 4, 9999.9, 0,   2.1,18,   0.8,18,   5.1, 999.9,   80.6*,  49.5 , 0.00I,999.9, 000000,
427240,99999, 20200207,   66.3,18,   52.2,18, 1017.6, 4, 9999.9, 0,   2.0,18,   0.6,18,   4.1, 999.9,   77.0*,  51.6 , 0.00I,999.9, 000000,
427240,99999, 20200208,   66.9,18,   59.1,18, 1018.3, 4, 9999.9, 0,   1.2,18,   0.1,18,   2.9, 999.9,   74.1*,  56.8 , 0.00I,999.9, 000000,
427240,99999, 20200209,   69.7,18,   58.7,18, 9999.9, 0, 9999.9, 0,   1.7,18,   0.4,18,   2.9, 999.9,   80.6*,  54.7*, 0.00G,999.9, 000000,
427240,99999, 20200210,   67.3,18,   56.1,18, 1017.1, 4, 9999.9, 0,   2.1,18,   0.5,18,   2.9, 999.9,   80.6*,  51.8*, 0.00I,999.9, 000000,
427240,99999, 20200211,   67.7,18,   56.0,18, 1017.2, 4, 9999.9, 0,   1.8,18,   0.7,18,   4.1, 999.9,   82.4*,  50.9 , 0.00I,999.9, 000000,
427240,99999, 20200212,   67.7,18,   57.6,18, 1016.0, 4, 9999.9, 0,   1.3,18,   0.5,18,   2.9, 999.9,   80.6*,  52.2 , 0.00I,999.9, 000000,
427240,99999, 20200213,   67.0,19,   56.1,19, 1012.7, 4, 9999.9, 0,   1.5,19,   1.0,19,   4.1, 999.9,   82.4*,  51.8*, 0.00I,999.9, 000000,
427240,99999, 20200214,   68.1,18,   56.9,18, 1011.3, 4, 9999.9, 0,   1.4,18,   0.6,18,   5.1, 999.9,   82.4*,  50.4 , 0.00I,999.9, 000000,
427240,99999, 20200215,   71.3,18,   65.1,18, 1013.3, 4, 9999.9, 0,   0.9,18,   0.2,18,   2.9, 999.9,   80.6*,  57.2 , 0.00I,999.9, 100000,
427240,99999, 20200216,   71.0,18,   66.7,18, 9999.9, 0, 9999.9, 0,   0.8,18,   0.6,18,   2.9, 999.9,   80.6*,  63.0*, 0.00I,999.9, 100000,
427240,99999, 20200217,   69.6,19,   65.1,19, 1014.8, 4, 9999.9, 0,   0.6,19,   0.2,19,   1.9, 999.9,   82.4*,  59.0*, 0.00I,999.9, 100000,
427240,99999, 20200218,   72.5,18,   61.5,18, 1015.3, 4, 9999.9, 0,   1.4,18,   0.4,18,   2.9, 999.9,   84.2*,  57.2 , 0.00I,999.9, 100000,
427240,99999, 20200219,   73.1,18,   60.4,18, 1015.3, 4, 9999.9, 0,   1.6,18,   0.3,18,   2.9, 999.9,   86.0*,  59.0*, 0.00I,999.9, 000000,
427240,99999, 20200220,   72.1,18,   61.2,18, 1016.9, 4, 9999.9, 0,   1.3,18,   0.5,18,   2.9, 999.9,   84.2*,  57.2*, 0.00I,999.9, 000000,
427240,99999, 20200221,   71.5,19,   60.2,19, 1018.1, 4, 9999.9, 0,   1.5,19,   0.9,19,   4.1, 999.9,   86.0*,  55.9 , 0.00I,999.9, 000000,
427240,99999, 20200222,   73.8,18,   60.1,18, 9999.9, 0, 9999.9, 0,   2.2,18,   1.1,18,   4.1, 999.9,   89.6*,  55.4*, 0.00I,999.9, 000000,
427240,99999, 20200223,   77.2,17,   62.4,17, 1015.3, 4, 9999.9, 0,   2.3,17,   0.9,17,   4.1, 999.9,   89.6*,  58.6 , 0.00I,999.9, 000000,
427240,99999, 20200224,   74.8,18,   64.2,18, 1013.5, 4, 9999.9, 0,   1.1,18,   0.5,18,   2.9, 999.9,   84.2*,  61.7 , 0.00E,999.9, 000000,
427240,99999, 20200225,   70.7,19,   64.6,19, 1013.2, 4, 9999.9, 0,   1.1,19,   1.4,19,   4.1, 999.9,   78.8*,  62.6*, 0.00G,999.9, 010000,
427240,99999, 20200226,   68.4,18,   61.9,18, 1014.3, 4, 9999.9, 0,   1.9,18,   1.5,18,   4.1, 999.9,   75.2*,  61.5 , 0.00G,999.9, 010000,
427240,99999, 20200227,   71.0,18,   60.5,18, 1014.5, 4, 9999.9, 0,   2.4,18,   1.3,18,   4.1, 999.9,   82.4*,  58.5 , 0.00G,999.9, 000000,
427240,99999, 20200228,   72.3,18,   60.3,18, 1012.8, 4, 9999.9, 0,   2.0,18,   1.3,18,   5.1, 999.9,   86.0*,  56.5 , 0.00I,999.9, 000000,
427240,99999, 20200229,   75.1,18,   59.4,18, 1012.6, 4, 9999.9, 0,   2.0,18,   1.1,18,   4.1, 999.9,   89.6*,  55.6 , 0.00I,999.9, 000000,
