STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
432950,99999, 20200101,   71.6, 8,   63.2, 8, 9999.9, 0,  912.6, 8,   4.3, 8,   1.8, 8,   2.9, 999.9,   81.0 ,  66.6 , 0.00I,999.9, 000000,
432950,99999, 20200102,   72.0, 8,   64.4, 8, 9999.9, 0,  913.4, 8,   3.4, 8,   1.1, 8,   2.9, 999.9,   78.8*,  66.9 , 0.00I,999.9, 000000,
432950,99999, 20200103,   74.2, 8,   62.8, 8, 9999.9, 0,  911.8, 8,   4.3, 8,   1.9, 8,   2.9, 999.9,   83.1 ,  66.9 , 0.00E,999.9, 000000,
432950,99999, 20200104,   74.4, 8,   61.1, 8, 9999.9, 0,  910.5, 8,   3.9, 8,   0.7, 8,   1.9, 999.9,   86.9 ,  66.2*, 0.00G,999.9, 000000,
432950,99999, 20200105,   75.5, 8,   61.8, 8, 9999.9, 0,  910.6, 8,   3.9, 8,   0.7, 8,   1.9, 999.9,   86.9 ,  68.7 , 0.00I,999.9, 000000,
432950,99999, 20200106,   71.8, 8,   64.4, 8, 9999.9, 0,  912.5, 8,   4.3, 8,   2.1, 8,   2.9, 999.9,   87.4 ,  68.7 , 0.00E,999.9, 000000,
432950,99999, 20200107,   72.0, 8,   61.0, 8, 9999.9, 0,  912.0, 8,   3.9, 8,   2.7, 8,   4.1, 999.9,   79.2 ,  65.8 , 0.00G,999.9, 000000,
432950,99999, 20200108,   72.8, 8,   58.8, 8, 9999.9, 0,  911.3, 8,   3.9, 8,   1.6, 8,   2.9, 999.9,   83.5*,  64.8 , 0.00I,999.9, 000000,
432950,99999, 20200109,   73.5, 8,   58.8, 8, 9999.9, 0,  911.1, 8,   4.3, 8,   1.0, 8,   1.9, 999.9,   85.6 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20200110,   71.7, 8,   56.6, 8, 9999.9, 0,  911.5, 8,   4.3, 8,   1.6, 8,   2.9, 999.9,   86.7 ,  63.0*, 0.00I,999.9, 000000,
432950,99999, 20200111,   69.4, 7,   55.7, 7, 9999.9, 0,  912.4, 7,   4.1, 7,   3.1, 7,   4.1, 999.9,   84.6 ,  60.1 , 0.00I,999.9, 000000,
432950,99999, 20200112,   70.0, 8,   56.1, 8, 9999.9, 0,  911.5, 8,   3.9, 8,   1.8, 8,   2.9, 999.9,   83.3 ,  59.9 , 0.00I,999.9, 000000,
432950,99999, 20200113,   73.2, 6,   55.3, 6, 9999.9, 0,  910.0, 6,   5.0, 6,   0.3, 6,   1.9, 999.9,   81.7*,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20200114,   71.5, 8,   52.1, 8, 9999.9, 0,  910.0, 8,   4.3, 8,   2.4, 8,   2.9, 999.9,   84.2 ,  61.5 , 0.00I,999.9, 000000,
432950,99999, 20200115,   69.8, 8,   50.9, 8, 9999.9, 0,  910.4, 8,   4.3, 8,   1.5, 8,   2.9, 999.9,   85.1 ,  57.9 , 0.00I,999.9, 000000,
432950,99999, 20200116,   71.3, 7,   55.0, 7, 9999.9, 0,  910.6, 7,   3.6, 7,   1.0, 7,   2.9, 999.9,   85.1 ,  59.5 , 0.00I,999.9, 000000,
432950,99999, 20200117,   71.7, 8,   55.2, 8, 9999.9, 0,  910.8, 8,   3.9, 8,   2.1, 8,   4.1, 999.9,   83.7 ,  60.4 , 0.00I,999.9, 000000,
432950,99999, 20200118,   72.4, 8,   62.8, 8, 9999.9, 0,  910.9, 8,   4.3, 8,   2.8, 8,   4.1, 999.9,   85.8 ,  65.1 , 0.00I,999.9, 000000,
432950,99999, 20200119,   74.0, 8,   61.5, 8, 9999.9, 0,  911.6, 8,   4.3, 8,   1.3, 8,   2.9, 999.9,   83.5*,  66.6 , 0.00I,999.9, 000000,
432950,99999, 20200120,   73.9, 8,   56.7, 8, 9999.9, 0,  912.3, 8,   3.9, 8,   2.0, 8,   4.1, 999.9,   85.6 ,  63.9 , 0.00I,999.9, 000000,
432950,99999, 20200121,   72.7, 8,   51.3, 8, 9999.9, 0,  913.3, 8,   4.3, 8,   2.0, 8,   4.1, 999.9,   87.8 ,  63.0 , 0.00I,999.9, 000000,
432950,99999, 20200122,   72.2, 8,   58.1, 8, 9999.9, 0,  913.2, 8,   4.3, 8,   2.3, 8,   4.1, 999.9,   86.4 ,  60.8 , 0.00I,999.9, 000000,
432950,99999, 20200123,   73.7, 8,   59.8, 8, 9999.9, 0,  912.5, 8,   4.3, 8,   2.7, 8,   4.1, 999.9,   86.2 ,  64.2 , 0.00I,999.9, 000000,
432950,99999, 20200124,   72.9, 8,   45.0, 8, 9999.9, 0,  912.2, 8,   4.3, 8,   1.1, 8,   2.9, 999.9,   86.7 ,  62.6 , 0.00I,999.9, 000000,
432950,99999, 20200125,   72.6, 8,   41.7, 8, 9999.9, 0,  912.1, 8,   4.3, 8,   2.1, 8,   2.9, 999.9,   88.3 ,  59.7 , 0.00I,999.9, 000000,
432950,99999, 20200126,   74.2, 8,   45.8, 8, 9999.9, 0,  911.0, 8,   4.8, 8,   0.7, 8,   1.9, 999.9,   89.1 ,  59.9 , 0.00I,999.9, 000000,
432950,99999, 20200127,   75.0, 8,   52.1, 8, 9999.9, 0,  910.6, 8,   4.8, 8,   1.5, 8,   2.9, 999.9,   90.9 ,  60.6 , 0.00I,999.9, 000000,
432950,99999, 20200128,   75.1, 8,   56.1, 8, 9999.9, 0,  911.4, 8,   3.9, 8,   1.1, 8,   2.9, 999.9,   89.2 ,  66.4 , 0.00I,999.9, 000000,
432950,99999, 20200129,   75.5, 8,   56.9, 8, 9999.9, 0,  911.9, 8,   4.3, 8,   0.5, 8,   1.9, 999.9,   88.9 ,  64.9 , 0.00I,999.9, 000000,
432950,99999, 20200130,   76.6, 8,   54.4, 8, 9999.9, 0,  910.9, 8,   5.3, 8,   0.7, 8,   1.9, 999.9,   89.6 ,  63.5 , 0.00I,999.9, 000000,
432950,99999, 20200131,   77.1, 8,   57.4, 8, 9999.9, 0,  909.8, 8,   4.3, 8,   1.1, 8,   2.9, 999.9,   92.1 ,  66.2 , 0.00I,999.9, 000000,
432950,99999, 20200201,   74.1, 8,   56.8, 8, 9999.9, 0,  910.9, 8,   3.9, 8,   2.2, 8,   4.1, 999.9,   90.9 ,  65.8 , 0.00I,999.9, 000000,
432950,99999, 20200202,   73.3, 8,   55.5, 8, 9999.9, 0,  912.6, 8,   4.3, 8,   2.5, 8,   2.9, 999.9,   86.9 ,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20200203,   73.9, 8,   49.8, 8, 9999.9, 0,  912.1, 8,   4.3, 8,   1.6, 8,   2.9, 999.9,   84.6 ,  63.0 , 0.00I,999.9, 000000,
432950,99999, 20200204,   74.3, 7,   51.6, 7, 9999.9, 0,  911.2, 7,   4.6, 7,   1.9, 7,   2.9, 999.9,   87.8 ,  60.8 , 0.00I,999.9, 000000,
432950,99999, 20200205,   74.6, 8,   55.0, 8, 9999.9, 0,  911.4, 8,   3.9, 8,   0.8, 8,   2.9, 999.9,   86.7 ,  65.3 , 0.00I,999.9, 000000,
432950,99999, 20200206,   75.2, 8,   56.6, 8, 9999.9, 0,  911.2, 8,   3.9, 8,   1.5, 8,   4.1, 999.9,   86.5 ,  63.9 , 0.00I,999.9, 000000,
432950,99999, 20200207,   74.7, 7,   55.8, 7, 9999.9, 0,  911.7, 7,   4.1, 7,   1.2, 7,  32.1, 999.9,   87.8 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20200208,   75.9, 8,   57.6, 8, 9999.9, 0,  911.8, 8,   4.3, 8,   1.7, 8,   1.9, 999.9,   87.4 ,  66.2 , 0.00I,999.9, 000000,
432950,99999, 20200209,   74.8, 8,   57.3, 8, 9999.9, 0,  911.8, 8,   3.9, 8,   2.0, 8,   5.1, 999.9,   88.9 ,  64.8 , 0.00I,999.9, 000000,
432950,99999, 20200210,   73.8, 8,   57.3, 8, 9999.9, 0,  911.8, 8,   3.4, 8,   3.2, 8,   6.0, 999.9,   86.7 ,  65.1*, 0.00I,999.9, 000000,
432950,99999, 20200211,   73.8, 8,   53.9, 8, 9999.9, 0,  912.4, 8,   4.3, 8,   2.7, 8,   4.1, 999.9,   87.1*,  61.5 , 0.00I,999.9, 000000,
432950,99999, 20200212,   73.9, 8,   56.1, 8, 9999.9, 0,  913.7, 8,   4.3, 8,   2.5, 8,   2.9, 999.9,   86.7 ,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20200213,   76.1, 8,   53.6, 8, 9999.9, 0,  912.7, 8,   4.3, 8,   2.2, 8,   2.9, 999.9,   87.8*,  65.5 , 0.00I,999.9, 000000,
432950,99999, 20200214,   76.4, 8,   52.7, 8, 9999.9, 0,  911.2, 8,   4.3, 8,   1.1, 8,   2.9, 999.9,   90.0 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20200215,   77.3, 8,   44.2, 8, 9999.9, 0,  911.1, 8,   3.9, 8,   0.7, 8,   1.9, 999.9,   90.1 ,  63.7 , 0.00I,999.9, 000000,
432950,99999, 20200216,   76.6, 8,   42.3, 8, 9999.9, 0,  912.1, 8,   3.9, 8,   2.3, 8,   4.1, 999.9,   91.6 ,  63.5 , 0.00I,999.9, 000000,
432950,99999, 20200217,   75.1, 8,   45.2, 8, 9999.9, 0,  912.8, 8,   3.9, 8,   2.1, 8,   2.9, 999.9,   90.7 ,  63.0 , 0.00I,999.9, 000000,
432950,99999, 20200218,   75.0, 8,   49.8, 8, 9999.9, 0,  912.3, 8,   4.3, 8,   1.9, 8,   2.9, 999.9,   90.3 ,  62.6 , 0.00I,999.9, 000000,
432950,99999, 20200219,   74.8, 8,   52.5, 8, 9999.9, 0,  911.8, 8,   4.3, 8,   2.2, 8,   4.1, 999.9,   90.7 ,  63.7 , 0.00I,999.9, 000000,
432950,99999, 20200220,   74.6, 8,   47.4, 8, 9999.9, 0,  911.6, 8,   3.9, 8,   2.6, 8,   4.1, 999.9,   88.7 ,  61.7 , 0.00I,999.9, 000000,
432950,99999, 20200221,   75.2, 8,   48.2, 8, 9999.9, 0,  913.2, 8,   3.9, 8,   2.1, 8,   4.1, 999.9,   90.7 ,  61.9 , 0.00I,999.9, 000000,
432950,99999, 20200222,   75.3, 8,   54.5, 8, 9999.9, 0,  913.7, 8,   4.3, 8,   3.0, 8,   5.1, 999.9,   90.0 ,  65.1 , 0.00I,999.9, 000000,
432950,99999, 20200223,   74.6, 8,   57.3, 8, 9999.9, 0,  912.8, 8,   4.3, 8,   3.1, 8,   6.0, 999.9,   88.5 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20200224,   74.0, 8,   57.4, 8, 9999.9, 0,  910.8, 8,   4.3, 8,   2.3, 8,   4.1, 999.9,   87.8 ,  65.5 , 0.00I,999.9, 000000,
432950,99999, 20200225,   77.0, 8,   54.7, 8, 9999.9, 0,  909.8, 8,   3.9, 8,   2.3, 8,   5.1, 999.9,   87.8*,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20200226,   77.8, 8,   59.2, 8, 9999.9, 0,  910.1, 8,   3.9, 8,   2.3, 8,   2.9, 999.9,   90.5 ,  66.9 , 0.00I,999.9, 000000,
432950,99999, 20200227,   77.3, 8,   58.3, 8, 9999.9, 0,  910.4, 8,   3.9, 8,   1.9, 8,   4.1, 999.9,   90.3 ,  68.7 , 0.00I,999.9, 000000,
432950,99999, 20200228,   76.1, 8,   58.6, 8, 9999.9, 0,  909.6, 8,   4.3, 8,   2.3, 8,   4.1, 999.9,   88.9 ,  66.6 , 0.00I,999.9, 000000,
