STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
426670,99999, 20200101,   58.6,19,   53.2,19, 9999.9, 0, 9999.9, 0,   1.1,19,   4.8,19,   8.0, 999.9,   68.0*,  49.5 , 0.00I,999.9, 100000,
426670,99999, 20200102,   60.4,20,   56.9,20, 9999.9, 0, 9999.9, 0,   0.7,20,   4.9,20,  12.0, 999.9,   68.0*,  53.6 , 0.00I,999.9, 100000,
426670,99999, 20200103,   60.6,21,   55.9,21, 9999.9, 0, 9999.9, 0,   0.9,21,   4.4,21,   8.0, 999.9,   68.0*,  51.8*, 0.00I,999.9, 100000,
426670,99999, 20200104,   55.5,20,   51.8,19, 9999.9, 0, 9999.9, 0,   0.9,20,   4.7,20,   9.9, 999.9,   60.8*,  48.2*, 0.00I,999.9, 100000,
426670,99999, 20200105,   59.2,20,   48.9,20, 1019.7, 4,  958.2, 4,   1.9,20,   3.7,20,   8.0, 999.9,   69.8*,  45.0 , 0.00I,999.9, 100000,
426670,99999, 20200106,   62.8,20,   47.5,20, 9999.9, 0, 9999.9, 0,   2.8,20,   4.0,20,   8.0, 999.9,   75.2*,  48.2*, 0.00I,999.9, 000000,
426670,99999, 20200107,   67.8,20,   54.3,20, 1013.5, 4,  954.0, 4,   3.0,20,   5.5,20,   8.9, 999.9,   78.8*,  54.3 , 0.00I,999.9, 000000,
426670,99999, 20200108,   67.0,20,   59.5,20, 9999.9, 0, 9999.9, 0,   1.7,20,   8.0,20,  14.0, 999.9,   77.0*,  53.6*, 0.00I,999.9, 000000,
426670,99999, 20200109,   56.2,20,   44.2,20, 9999.9, 0, 9999.9, 0,   2.4,20,   5.1,20,  11.1, 999.9,   64.4*,  46.4*, 0.00I,999.9, 100000,
426670,99999, 20200110,   51.8,19,   42.1,19, 9999.9, 0, 9999.9, 0,   1.9,19,   5.1,19,   8.0, 999.9,   64.4*,  41.9 , 0.00I,999.9, 100000,
426670,99999, 20200111,   56.8,17,   41.0,17, 1019.4, 4,  958.0, 4,   2.2,17,   4.7,17,   7.0, 999.9,   71.6*,  40.3 , 0.00I,999.9, 000000,
426670,99999, 20200112,   62.2,21,   45.1,21, 1015.6, 4,  955.4, 4,   2.5,21,   3.5,21,   6.0, 999.9,   77.0*,  46.4*, 0.00I,999.9, 000000,
426670,99999, 20200113,   69.6,19,   54.3,19, 1012.8, 5,  953.2, 5,   2.7,19,   4.7,19,   9.9, 999.9,   82.4*,  50.0*, 0.00I,999.9, 000000,
426670,99999, 20200114,   64.8,19,   61.2,19, 9999.9, 0, 9999.9, 0,   1.1,19,   3.4,19,   6.0, 999.9,   71.6*,  58.3 , 0.24E,999.9, 110000,
426670,99999, 20200115,   64.5,20,   60.8,20, 9999.9, 0, 9999.9, 0,   0.6,20,   4.5,20,   7.0, 999.9,   75.2*,  58.8 , 0.00I,999.9, 100000,
426670,99999, 20200116,   60.6,18,   59.2,18, 9999.9, 0, 9999.9, 0,   0.3,18,   4.3,18,  12.0, 999.9,   66.6*,  55.4*, 0.00I,999.9, 100000,
426670,99999, 20200117,   59.9,19,   51.7,19, 9999.9, 0, 9999.9, 0,   1.5,19,   4.9,19,   8.0, 999.9,   68.0*,  50.0*, 0.00I,999.9, 100000,
426670,99999, 20200118,   55.3,19,   52.3,19, 1018.0, 5,  956.9, 5,   0.8,19,   4.3,19,   8.0, 999.9,   64.4*,  47.1 , 0.00I,999.9, 100000,
426670,99999, 20200119,   55.7,20,   47.8,20, 9999.9, 0, 9999.9, 0,   1.3,20,   5.2,20,   9.9, 999.9,   66.2*,  47.8 , 0.00I,999.9, 100000,
426670,99999, 20200120,   59.5,20,   46.6,20, 1018.0, 6,  957.2, 6,   2.2,20,   4.2,20,   6.0, 999.9,   71.6*,  43.5 , 0.00I,999.9, 000000,
426670,99999, 20200121,   66.3,19,   56.7,19, 1017.0, 4,  956.7, 4,   1.8,19,   5.2,19,   8.9, 999.9,   78.8*,  51.8*, 0.01E,999.9, 010000,
426670,99999, 20200122,   62.4,19,   55.9,19, 9999.9, 0, 9999.9, 0,   1.4,19,   5.5,19,   8.0, 999.9,   70.5*,  56.1*, 0.00A,999.9, 000000,
426670,99999, 20200123,   59.0,17,   47.5,17, 1020.3, 4,  959.2, 4,   1.9,17,   4.7,17,  12.0, 999.9,   68.0*,  48.9*, 0.00G,999.9, 000000,
426670,99999, 20200124,   59.3,19,   46.1,18, 1019.0, 4,  957.9, 4,   3.3,19,   3.4,19,   8.9, 999.9,   75.2*,  44.6*, 0.00I,999.9, 000000,
426670,99999, 20200125,   62.7,20,   47.4,20, 1017.4, 4,  956.2, 4,   3.0,20,   3.1,20,   7.0, 999.9,   75.2*,  48.2*, 0.00I,999.9, 000000,
426670,99999, 20200126,   65.1,20,   48.7,20, 9999.9, 0, 9999.9, 0,   3.0,20,   3.2,20,   6.0, 999.9,   78.8*,  50.0*, 0.00I,999.9, 000000,
426670,99999, 20200127,   69.4,19,   54.4,19, 1010.7, 4,  951.3, 4,   2.9,19,   5.0,19,  11.1, 999.9,   80.6*,  55.8 , 0.00I,999.9, 000000,
426670,99999, 20200128,   67.6,20,   55.0,20, 1011.8, 4,  952.3, 4,   3.0,20,   7.3,20,  14.0, 999.9,   78.8*,  56.5 , 0.00I,999.9, 000000,
426670,99999, 20200129,   64.6,18,   48.0,18, 9999.9, 0, 9999.9, 0,   3.1,18,   6.5,18,   8.9, 999.9,   73.8*,  54.3*, 0.00I,999.9, 000000,
426670,99999, 20200130,   59.9,19,   48.1,19, 9999.9, 0, 9999.9, 0,   2.1,19,   5.1,19,   8.0, 999.9,   68.0*,  50.4*, 0.00I,999.9, 100000,
426670,99999, 20200131,   60.0,21,   45.2,21, 9999.9, 0, 9999.9, 0,   3.2,21,   4.3,21,   8.0, 999.9,   71.6*,  45.7 , 0.00I,999.9, 000000,
426670,99999, 20200201,   61.7,18,   42.7,18, 1017.5, 4,  957.1, 4,   3.1,18,   5.3,18,  11.1, 999.9,   71.6*,  49.6 , 0.00I,999.9, 000000,
