STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
429710,99999, 20200101,   69.3,24,   51.2,24, 9999.9, 0, 9999.9, 0,   2.0,24,   3.3,24,   9.9, 999.9,   79.9*,  54.7 , 0.00I,999.9, 000000,
429710,99999, 20200102,   71.2,24,   59.5,24, 9999.9, 0, 9999.9, 0,   1.4,24,   2.4,24,   8.0, 999.9,   78.4*,  60.1 , 0.00E,999.9, 010000,
429710,99999, 20200103,   64.5,24,   62.0,24, 9999.9, 0, 9999.9, 0,   1.3,24,   4.2,24,   8.0, 999.9,   69.8*,  62.6 , 0.00G,999.9, 010000,
429710,99999, 20200104,   66.3,24,   64.2,24, 9999.9, 0, 9999.9, 0,   1.9,24,   1.4,24,   5.1, 999.9,   69.8*,  61.0 , 0.47G,999.9, 010000,
429710,99999, 20200105,   68.2,24,   63.1,24, 9999.9, 0, 9999.9, 0,   1.7,24,   2.0,24,   8.9, 999.9,   77.0*,  59.7 , 0.00G,999.9, 000000,
429710,99999, 20200106,   66.0,24,   56.5,24, 9999.9, 0, 9999.9, 0,   2.0,24,   1.5,24,   5.1, 999.9,   77.0*,  55.4*, 0.00I,999.9, 000000,
429710,99999, 20200107,   66.5,24,   55.2,24, 9999.9, 0, 9999.9, 0,   2.1,24,   0.4,24,   2.9, 999.9,   80.6*,  53.6 , 0.00I,999.9, 000000,
429710,99999, 20200108,   69.0,24,   59.8,24, 9999.9, 0, 9999.9, 0,   1.5,24,   2.0,24,   5.1, 999.9,   81.0*,  56.1 , 0.00I,999.9, 000000,
429710,99999, 20200109,   71.8,24,   65.1,24, 9999.9, 0, 9999.9, 0,   1.5,24,   0.9,24,   4.1, 999.9,   81.0*,  60.8 , 0.00I,999.9, 100000,
429710,99999, 20200110,   70.1,24,   62.3,24, 9999.9, 0, 9999.9, 0,   1.3,24,   1.9,24,   6.0, 999.9,   78.1*,  60.8*, 0.00G,999.9, 010000,
429710,99999, 20200111,   64.8,23,   53.6,23, 9999.9, 0, 9999.9, 0,   2.0,23,   2.7,23,   8.0, 999.9,   77.5 ,  53.6*, 0.00I,999.9, 000000,
429710,99999, 20200112,   64.7,24,   51.9,24, 9999.9, 0, 9999.9, 0,   2.1,24,   2.0,24,   7.0, 999.9,   77.7*,  52.3 , 0.00I,999.9, 000000,
429710,99999, 20200113,   66.8,24,   54.3,24, 9999.9, 0, 9999.9, 0,   2.1,24,   1.2,24,   6.0, 999.9,   81.3*,  52.5 , 0.00I,999.9, 000000,
429710,99999, 20200114,   69.0,24,   60.7,24, 9999.9, 0, 9999.9, 0,   1.2,24,   0.6,24,   2.9, 999.9,   83.1*,  55.4 , 0.00I,999.9, 100000,
429710,99999, 20200115,   70.5,24,   63.3,24, 9999.9, 0, 9999.9, 0,   1.3,24,   1.1,24,   4.1, 999.9,   82.8*,  60.8 , 0.00I,999.9, 100000,
429710,99999, 20200116,   70.8,24,   61.1,24, 9999.9, 0, 9999.9, 0,   1.2,24,   1.2,24,   7.0, 999.9,   85.3*,  60.8*, 0.00I,999.9, 100000,
429710,99999, 20200117,   72.2,24,   64.0,24, 9999.9, 0, 9999.9, 0,   1.3,24,   1.4,24,   7.0, 999.9,   84.9*,  61.7 , 0.00I,999.9, 100000,
429710,99999, 20200118,   72.4,24,   63.4,24, 9999.9, 0, 9999.9, 0,   1.8,24,   1.0,24,   5.1, 999.9,   86.0*,  60.8*, 0.00I,999.9, 000000,
429710,99999, 20200119,   72.6,24,   60.8,24, 9999.9, 0, 9999.9, 0,   2.6,24,   0.9,24,   5.1, 999.9,   87.1*,  59.0*, 0.00I,999.9, 000000,
429710,99999, 20200120,   71.4,24,   63.9,24, 9999.9, 0, 9999.9, 0,   1.6,24,   2.6,24,   8.0, 999.9,   83.5*,  64.0 , 0.00I,999.9, 000000,
429710,99999, 20200121,   71.0,24,   63.5,24, 9999.9, 0, 9999.9, 0,   1.2,24,   1.9,24,   6.0, 999.9,   82.4*,  62.6*, 0.00I,999.9, 000000,
429710,99999, 20200122,   72.5,24,   63.5,24, 9999.9, 0, 9999.9, 0,   1.5,24,   1.5,24,   6.0, 999.9,   85.3*,  61.0 , 0.00I,999.9, 000000,
429710,99999, 20200123,   75.4,24,   68.3,24, 9999.9, 0, 9999.9, 0,   1.7,24,   1.2,24,   7.0, 999.9,   87.8*,  65.3 , 0.00I,999.9, 000000,
429710,99999, 20200124,   73.8,24,   63.0,24, 9999.9, 0, 9999.9, 0,   1.5,24,   2.1,24,   8.0, 999.9,   84.6*,  66.2*, 0.00I,999.9, 000000,
429710,99999, 20200125,   70.5,24,   57.8,24, 9999.9, 0, 9999.9, 0,   1.9,24,   1.5,24,   7.0, 999.9,   82.4*,  60.8*, 0.00I,999.9, 000000,
429710,99999, 20200126,   70.3,24,   60.2,24, 9999.9, 0, 9999.9, 0,   1.8,24,   0.4,24,   8.0, 999.9,   82.4*,  57.2*, 0.00I,999.9, 000000,
429710,99999, 20200127,   70.1,24,   55.9,24, 9999.9, 0, 9999.9, 0,   2.5,24,   1.5,24,   7.0, 999.9,   84.2*,  55.9 , 0.00I,999.9, 000000,
429710,99999, 20200128,   73.9,24,   65.1,24, 9999.9, 0, 9999.9, 0,   2.3,24,   1.7,24,   8.0, 999.9,   86.4*,  60.1 , 0.00I,999.9, 000000,
429710,99999, 20200129,   78.8,24,   70.6,24, 9999.9, 0, 9999.9, 0,   2.1,24,   2.8,24,   7.0, 999.9,   90.7*,  70.5 , 0.00H,999.9, 010010,
