STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421050,99999, 20200101,   51.3, 8,   40.0, 8, 1023.2, 8, 9999.9, 0,   1.9, 8,   0.4, 8,   1.9, 999.9,   68.0 ,  38.3 , 0.00I,999.9, 000000,
421050,99999, 20200102,   55.0, 8,   43.1, 8, 1022.0, 8, 9999.9, 0,   1.4, 8,   0.0, 8, 999.9, 999.9,   70.9 ,  43.0 , 0.00I,999.9, 000000,
421050,99999, 20200103,   55.9, 8,   45.5, 8, 1019.0, 8, 9999.9, 0,   1.9, 8,   0.6, 8,   1.9, 999.9,   71.6 ,  43.7 , 0.00I,999.9, 000000,
421050,99999, 20200104,   55.0, 7,   43.5, 7, 1018.3, 7, 9999.9, 0,   2.0, 7,   0.6, 7,   1.9, 999.9,   71.6 ,  44.1 , 0.00I,999.9, 000000,
421050,99999, 20200105,   54.5, 8,   43.3, 8, 1018.6, 8, 9999.9, 0,   1.9, 8,   2.0, 8,   5.1, 999.9,   68.0 ,  42.1 , 0.00I,999.9, 100000,
421050,99999, 20200106,   54.3, 8,   49.1, 8, 1020.2, 8, 9999.9, 0,   2.2, 8,   0.7, 8,   2.9, 999.9,   64.2 ,  52.3 , 0.00G,999.9, 010000,
421050,99999, 20200107,   56.3, 8,   52.0, 8, 1017.3, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.9, 999.9,   70.3*,  52.0 , 0.35G,999.9, 010000,
421050,99999, 20200108,   51.8, 8,   49.3, 8, 1016.2, 8, 9999.9, 0,   1.4, 8,   1.0, 8,   4.1, 999.9,   58.6 ,  47.8*, 0.91G,999.9, 010000,
421050,99999, 20200109,   49.5, 8,   45.0, 8, 1020.7, 8, 9999.9, 0,   1.4, 8,   3.7, 8,   6.0, 999.9,   59.2 ,  44.1 , 0.12G,999.9, 100000,
421050,99999, 20200110,   51.4, 8,   42.6, 8, 1020.2, 8, 9999.9, 0,   2.3, 8,   2.1, 8,   5.1, 999.9,   64.4 ,  41.4 , 0.00G,999.9, 000000,
421050,99999, 20200111,   52.0, 6,   44.1, 6, 1019.9, 6, 9999.9, 0,   2.1, 6,   0.3, 6,   1.9, 999.9,   65.5 ,  40.6 , 0.00I,999.9, 000000,
421050,99999, 20200112,   55.9, 7,   50.4, 7, 1015.9, 7, 9999.9, 0,   1.1, 7,   0.3, 7,   1.0, 999.9,   65.7 ,  49.1 , 0.00G,999.9, 000000,
421050,99999, 20200113,   55.5, 6,   49.3, 6, 1011.5, 5, 9999.9, 0,   1.6, 6,   2.1, 6,   6.0, 999.9,   65.7 ,  52.3 , 0.43E,999.9, 010010,
421050,99999, 20200114,   51.5, 8,   49.0, 8, 1016.8, 8, 9999.9, 0,   0.7, 8,   1.2, 8,   2.9, 999.9,   63.5 ,  47.5 , 0.00I,999.9, 100000,
421050,99999, 20200115,   53.2, 8,   48.9, 8, 1017.7, 8, 9999.9, 0,   0.9, 8,   1.2, 8,   2.9, 999.9,   62.2 ,  48.6 , 0.00I,999.9, 100000,
