STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421110,99999, 20200101,   52.2, 8,   44.8, 8, 1021.8, 7,  949.5, 8,   1.2, 8,   0.5, 8,   1.9, 999.9,   66.6*,  38.8 , 0.00I,999.9, 000000,
421110,99999, 20200102,   53.1, 8,   47.6, 8, 1021.1, 6,  948.9, 8,   1.2, 8,   1.0, 8,   1.9, 999.9,   68.9 ,  43.9 , 0.00E,999.9, 010000,
421110,99999, 20200103,   54.5, 8,   48.3, 8, 1017.3, 8,  945.6, 8,   1.4, 8,   0.7, 8,   1.9, 999.9,   68.7*,  42.8 , 0.00I,999.9, 000000,
421110,99999, 20200104,   49.6, 8,   46.4, 8, 1017.3, 8,  944.8, 8,   1.2, 8,   0.7, 8,   1.0, 999.9,   71.6 ,  42.1*, 0.35E,999.9, 010010,
421110,99999, 20200105,   51.6, 8,   45.1, 8, 1017.0, 8,  945.0, 8,   1.6, 8,   1.1, 8,   1.9, 999.9,   65.1 ,  38.5 , 0.00I,999.9, 000000,
421110,99999, 20200106,   53.3, 7,   50.1, 7, 1018.4, 6,  946.6, 7,   1.2, 7,   1.1, 7,   2.9, 999.9,   66.9 ,  38.8 , 0.12E,999.9, 010000,
421110,99999, 20200107,   51.4, 7,   51.3, 7, 1016.4, 7,  944.4, 7,   0.9, 7,   0.4, 7,   1.0, 999.9,   64.9 ,  50.2 , 0.59E,999.9, 010000,
421110,99999, 20200108,   48.5, 8,   48.4, 8, 1015.2, 8,  942.7, 8,   1.2, 8,   1.6, 8,   4.1, 999.9,   54.5 ,  43.9*, 1.14E,999.9, 010010,
421110,99999, 20200109,   49.5, 8,   45.8, 8, 1018.4, 8,  945.5, 8,   1.1, 8,   0.8, 8,   1.9, 999.9,   62.6*,  40.1 , 0.00I,999.9, 100000,
421110,99999, 20200110,   51.6, 8,   45.7, 8, 1018.0, 8,  945.8, 8,   1.1, 8,   1.5, 8,   2.9, 999.9,   68.4*,  39.2 , 0.00I,999.9, 100000,
421110,99999, 20200111,   50.7, 6,   45.5, 6, 1018.5, 6,  946.1, 6,   1.4, 6,   0.8, 6,   1.9, 999.9,   70.3 ,  39.9 , 0.00I,999.9, 000000,
421110,99999, 20200112,   59.5, 7,   51.8, 7, 1013.4, 7,  942.6, 7,   1.6, 7,   1.0, 7,   1.9, 999.9,   70.9*,  47.5*, 0.00I,999.9, 000000,
421110,99999, 20200113,   53.9, 6,   51.0, 6, 1011.4, 6,  940.0, 6,   1.9, 6,   2.1, 6,   7.0, 999.9,   74.1 ,  49.1 ,99.99 ,999.9, 010010,
421110,99999, 20200114,   57.4, 8,   52.3, 8, 1013.9, 8,  942.7, 8,   1.6, 8,   1.0, 8,   1.9, 999.9,   68.4*,  48.2 , 0.67G,999.9, 000000,
421110,99999, 20200115,   57.9, 6,   51.4, 6, 1014.9, 6,  943.7, 6,   1.9, 6,   2.0, 6,   4.1, 999.9,   70.9*,  47.8*, 0.00G,999.9, 000000,
421110,99999, 20200116,   55.4, 7,   52.3, 7, 1015.6, 7,  943.4, 7,   1.4, 7,   1.2, 7,   1.9, 999.9,   72.1 ,  46.8 , 0.16E,999.9, 010000,
421110,99999, 20200117,   54.4, 8,   51.8, 8, 1015.9, 8,  944.3, 8,   1.4, 8,   0.8, 8,   1.9, 999.9,   66.7 ,  48.7 , 0.35G,999.9, 010000,
421110,99999, 20200118,   54.8, 8,   50.5, 8, 1017.3, 8,  945.5, 8,   1.4, 8,   1.0, 8,   1.9, 999.9,   66.9*,  47.5*, 0.00G,999.9, 010010,
421110,99999, 20200119,   52.5, 8,   46.4, 8, 1017.2, 8,  945.4, 8,   1.6, 8,   1.6, 8,   2.9, 999.9,   69.1 ,  41.9 , 0.03G,999.9, 100000,
421110,99999, 20200120,   52.6, 8,   48.0, 8, 1016.8, 8,  944.8, 8,   1.0, 8,   1.2, 8,   2.9, 999.9,   70.0 ,  42.6 , 0.00G,999.9, 100000,
421110,99999, 20200121,   55.1, 8,   48.1, 8, 1018.4, 8,  946.7, 8,   1.6, 8,   1.1, 8,   1.9, 999.9,   66.2*,  46.6 , 0.00I,999.9, 000000,
421110,99999, 20200122,   54.8, 8,   47.1, 8, 1018.8, 8,  946.8, 8,   1.7, 8,   1.2, 8,   2.9, 999.9,   71.6*,  44.2 , 0.00I,999.9, 000000,
421110,99999, 20200123,   52.6, 8,   44.2, 8, 1016.2, 8,  944.2, 8,   1.9, 8,   1.2, 8,   2.9, 999.9,   74.5 ,  42.8 , 0.00I,999.9, 000000,
421110,99999, 20200124,   53.5, 8,   45.6, 8, 1014.7, 8,  942.3, 8,   1.6, 8,   1.1, 8,   1.9, 999.9,   73.0*,  40.8 , 0.00I,999.9, 000000,
421110,99999, 20200125,   51.9, 8,   48.4, 8, 1015.8, 8,  943.8, 8,   0.7, 8,   0.5, 8,   1.9, 999.9,   74.5 ,  43.0 , 0.00I,999.9, 100000,
421110,99999, 20200126,   56.0, 8,   50.2, 8, 1012.9, 8,  941.7, 8,   0.8, 8,   1.0, 8,   1.9, 999.9,   68.4*,  47.1*, 0.00I,999.9, 100000,
421110,99999, 20200127,   54.0, 8,   49.7, 8, 1012.0, 8,  940.6, 8,   1.1, 8,   1.3, 8,   1.9, 999.9,   71.2 ,  44.6 , 0.00H,999.9, 010000,
421110,99999, 20200128,   54.4, 8,   52.8, 8, 1011.8, 8,  940.4, 8,   1.2, 8,   1.8, 8,   1.9, 999.9,   63.5 ,  50.4 , 0.16G,999.9, 010000,
421110,99999, 20200129,   50.9, 7,   47.6, 7, 1017.4, 7,  945.1, 7,   1.4, 7,   0.8, 7,   1.9, 999.9,   60.8*,  45.3*, 0.91G,999.9, 010000,
421110,99999, 20200130,   54.8, 7,   45.8, 7, 1015.6, 7,  944.0, 7,   1.4, 7,   1.1, 7,   1.9, 999.9,   68.7 ,  42.1 , 0.00G,999.9, 000000,
421110,99999, 20200131,   54.6, 7,   46.5, 7, 1013.5, 7,  942.1, 7,   1.6, 7,   1.4, 7,   1.9, 999.9,   69.4 ,  42.1 , 0.00I,999.9, 000000,
421110,99999, 20200201,   52.5, 8,   45.6, 8, 1017.6, 8,  945.6, 8,   1.2, 8,   0.8, 8,   1.9, 999.9,   71.1 ,  44.2*, 0.00I,999.9, 000000,
421110,99999, 20200202,   52.4, 8,   44.4, 8, 1017.9, 8,  945.9, 8,   1.6, 8,   0.6, 8,   1.9, 999.9,   68.0*,  40.1 , 0.00I,999.9, 000000,
421110,99999, 20200203,   51.1, 7,   45.9, 6, 1016.7, 7,  944.6, 7,   2.0, 7,   1.5, 6,   1.9, 999.9,   70.2 ,  41.5 , 0.00I,999.9, 000000,
421110,99999, 20200204,   53.8, 8,   46.9, 8, 1016.6, 8,  944.8, 8,   1.4, 8,   0.5, 8,   1.9, 999.9,   71.2 ,  41.5 , 0.00I,999.9, 000000,
421110,99999, 20200205,   53.6, 8,   44.4, 8, 1015.8, 8,  943.6, 8,   1.7, 8,   1.1, 8,   2.9, 999.9,   69.8*,  41.0 , 0.00I,999.9, 000000,
421110,99999, 20200206,   51.8, 8,   45.1, 8, 1015.2, 8,  943.6, 8,   1.4, 8,   0.8, 8,   1.9, 999.9,   71.6 ,  41.7 , 0.00I,999.9, 000000,
421110,99999, 20200207,   50.4, 8,   41.5, 8, 1018.7, 8,  946.3, 8,   1.2, 8,   0.6, 8,   2.9, 999.9,   67.3 ,  40.1 , 0.00I,999.9, 000000,
