STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421810,99999, 20200101,   53.4,24,   45.8,24, 9999.9, 0, 9999.9, 0,   0.5,24,   2.3,24,   8.0, 999.9,   66.2*,  37.6 , 0.00I,999.9, 100000,
421810,99999, 20200102,   58.6,24,   48.3,24, 9999.9, 0, 9999.9, 0,   0.6,24,   1.6,24,   5.1, 999.9,   70.3 ,  42.1 , 0.00I,999.9, 100000,
421810,99999, 20200103,   59.8,24,   50.1,24, 9999.9, 0, 9999.9, 0,   1.0,24,   1.8,24,   7.0, 999.9,   71.6*,  47.1 , 0.00I,999.9, 100000,
421810,99999, 20200104,   58.3,24,   49.2,24, 9999.9, 0, 9999.9, 0,   0.7,24,   3.2,24,   8.0, 999.9,   72.5 ,  47.5 , 0.00I,999.9, 100000,
421810,99999, 20200105,   57.8,24,   47.6,24, 9999.9, 0, 9999.9, 0,   0.9,24,   3.6,24,   8.9, 999.9,   68.5 ,  45.0 , 0.00I,999.9, 000000,
421810,99999, 20200106,   58.5,24,   49.5,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.6,24,   7.0, 999.9,   69.4 ,  48.9 , 0.00I,999.9, 000000,
421810,99999, 20200107,   58.6,24,   52.8,24, 9999.9, 0, 9999.9, 0,   1.0,24,   5.9,24,   8.9, 999.9,   68.4 ,  51.8*, 0.00G,999.9, 010000,
421810,99999, 20200108,   55.1,24,   53.9,24, 9999.9, 0, 9999.9, 0,   0.6,24,   5.2,24,   9.9, 999.9,   65.8 ,  48.2*, 0.20G,999.9, 010010,
421810,99999, 20200109,   49.0,23,   46.9,23, 9999.9, 0, 9999.9, 0,   0.6,23,   5.8,23,   8.9, 999.9,   58.1 ,  42.8*, 0.39G,999.9, 100000,
421810,99999, 20200110,   49.4,20,   46.5,20, 1020.8, 4, 9999.9, 0,   0.6,20,   4.2,20,   8.9, 999.9,   59.0*,  41.7 , 0.00G,999.9, 100000,
421810,99999, 20200111,   53.6,23,   45.4,23, 9999.9, 0, 9999.9, 0,   1.0,23,   3.1,23,   8.0, 999.9,   66.2*,  42.1 , 0.00I,999.9, 000000,
421810,99999, 20200112,   58.1,24,   47.7,24, 9999.9, 0, 9999.9, 0,   0.9,24,   2.9,24,   7.0, 999.9,   69.8*,  45.7 , 0.00I,999.9, 000000,
421810,99999, 20200113,   59.5,24,   52.8,24, 9999.9, 0, 9999.9, 0,   0.8,24,   6.3,24,  11.1, 999.9,   70.0 ,  49.3 , 0.04E,999.9, 010000,
421810,99999, 20200114,   55.0,24,   52.0,24, 9999.9, 0, 9999.9, 0,   0.9,24,   4.2,24,   7.0, 999.9,   69.1 ,  48.2*, 0.00I,999.9, 000000,
421810,99999, 20200115,   55.5,24,   50.4,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.4,24,   6.0, 999.9,   64.4*,  44.1 , 0.00I,999.9, 000000,
421810,99999, 20200116,   54.0,24,   51.5,24, 9999.9, 0, 9999.9, 0,   0.5,24,   3.7,24,   7.0, 999.9,   65.1 ,  46.4*, 0.01G,999.9, 010000,
421810,99999, 20200117,   54.8,24,   51.5,24, 9999.9, 0, 9999.9, 0,   0.6,24,   4.0,24,   8.0, 999.9,   60.8*,  50.7 , 0.79G,999.9, 110000,
421810,99999, 20200118,   54.0,24,   50.8,24, 9999.9, 0, 9999.9, 0,   0.5,24,   2.1,24,   7.0, 999.9,   60.8 ,  46.4*, 0.00G,999.9, 100000,
421810,99999, 20200119,   49.8,24,   47.3,24, 9999.9, 0, 9999.9, 0,   0.5,24,   7.0,24,   9.9, 999.9,   60.4 ,  43.2 , 0.00I,999.9, 100000,
421810,99999, 20200120,   52.7,24,   51.9,24, 9999.9, 0, 9999.9, 0,   0.5,24,   3.4,24,   8.0, 999.9,   60.4 ,  45.7 , 0.00I,999.9, 100000,
421810,99999, 20200121,   56.2,24,   51.9,24, 9999.9, 0, 9999.9, 0,   0.5,24,   2.4,24,   7.0, 999.9,   66.2*,  47.8 , 0.00I,999.9, 100000,
421810,99999, 20200122,   52.3,24,   50.2,24, 9999.9, 0, 9999.9, 0,   0.6,24,   5.4,24,   8.0, 999.9,   67.3 ,  46.6 , 0.00I,999.9, 100000,
421810,99999, 20200123,   54.7,24,   43.6,24, 9999.9, 0, 9999.9, 0,   1.4,24,   7.4,24,  14.0,  20.0,   66.6*,  43.9 , 0.00I,999.9, 000000,
421810,99999, 20200124,   55.9,24,   42.2,24, 9999.9, 0, 9999.9, 0,   1.6,24,   5.0,24,  13.0,  17.1,   68.0*,  42.8*, 0.00I,999.9, 000000,
421810,99999, 20200125,   56.4,24,   45.2,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.4,24,   7.0, 999.9,   68.7 ,  42.8 , 0.00I,999.9, 000000,
421810,99999, 20200126,   58.2,24,   47.1,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.1,24,   8.9, 999.9,   69.8 ,  45.0 , 0.00I,999.9, 000000,
421810,99999, 20200127,   61.0,24,   50.8,24, 9999.9, 0, 9999.9, 0,   0.9,24,   4.9,24,   9.9, 999.9,   72.0 ,  48.9 ,99.99 ,999.9, 010010,
421810,99999, 20200128,   60.3,24,   56.7,24, 9999.9, 0, 9999.9, 0,   0.8,24,   6.1,24,  12.0,  15.0,   72.0 ,  52.5 , 0.16G,999.9, 010010,
421810,99999, 20200129,   58.5,24,   51.6,24, 9999.9, 0, 9999.9, 0,   0.9,24,   4.1,24,   7.0, 999.9,   68.5 ,  48.6 , 0.12G,999.9, 000000,
421810,99999, 20200130,   56.9,24,   50.3,24, 9999.9, 0, 9999.9, 0,   1.0,24,   5.2,24,   9.9, 999.9,   68.0 ,  46.4 , 0.00G,999.9, 100000,
421810,99999, 20200131,   53.4,24,   45.7,24, 9999.9, 0, 9999.9, 0,   1.3,24,   4.0,24,   8.0, 999.9,   67.6 ,  43.2 , 0.00I,999.9, 100000,
421810,99999, 20200201,   56.2,24,   48.4,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.9,24,   8.0, 999.9,   66.6*,  44.4 , 0.00I,999.9, 000000,
421810,99999, 20200202,   53.4,24,   46.0,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.0,24,  11.1, 999.9,   68.0 ,  42.8 , 0.00I,999.9, 100000,
421810,99999, 20200203,   57.1,24,   44.0,24, 9999.9, 0, 9999.9, 0,   1.2,24,   3.0,24,   6.0, 999.9,   69.8*,  43.0 , 0.00I,999.9, 100000,
421810,99999, 20200204,   59.1,24,   45.9,24, 9999.9, 0, 9999.9, 0,   1.2,24,   1.6,24,   8.0, 999.9,   70.5 ,  43.7 , 0.00I,999.9, 000000,
421810,99999, 20200205,   57.6,24,   48.1,24, 9999.9, 0, 9999.9, 0,   1.1,24,   4.8,24,   8.9, 999.9,   72.0 ,  45.7 , 0.00I,999.9, 100000,
421810,99999, 20200206,   54.8,24,   45.3,24, 9999.9, 0, 9999.9, 0,   1.2,24,   3.3,24,   6.0, 999.9,   70.2 ,  44.8 , 0.00I,999.9, 100000,
421810,99999, 20200207,   55.7,24,   46.0,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.2,24,   8.0, 999.9,   67.3*,  44.2 , 0.00I,999.9, 000000,
421810,99999, 20200208,   57.2,24,   46.8,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.2,24,   9.9, 999.9,   69.1*,  44.6 , 0.00I,999.9, 000000,
421810,99999, 20200209,   58.0,24,   47.1,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.1,24,   8.0, 999.9,   69.8 ,  45.3 , 0.00I,999.9, 100000,
421810,99999, 20200210,   55.6,24,   45.9,24, 9999.9, 0, 9999.9, 0,   0.8,24,   2.7,24,   7.0, 999.9,   70.9 ,  44.6*, 0.00I,999.9, 100000,
421810,99999, 20200211,   59.8,24,   48.8,24, 9999.9, 0, 9999.9, 0,   0.7,24,   2.9,24,   7.0, 999.9,   70.5 ,  44.2 , 0.00I,999.9, 100000,
421810,99999, 20200212,   61.0,24,   51.9,24, 9999.9, 0, 9999.9, 0,   0.7,24,   6.7,24,  12.0,  15.0,   74.8*,  47.5 , 0.00I,999.9, 100000,
421810,99999, 20200213,   66.2,24,   51.6,24, 9999.9, 0, 9999.9, 0,   1.5,24,   8.7,24,  12.0, 999.9,   80.6*,  50.4 , 0.00I,999.9, 000000,
421810,99999, 20200214,   62.9,24,   47.6,24, 9999.9, 0, 9999.9, 0,   1.5,24,   8.0,24,  14.0,  24.1,   81.0 ,  51.8*, 0.00I,999.9, 000000,
421810,99999, 20200215,   63.4,24,   44.7,24, 9999.9, 0, 9999.9, 0,   1.6,24,   7.0,24,  14.0,  20.0,   77.0 ,  47.5 , 0.00I,999.9, 000000,
421810,99999, 20200216,   63.8,24,   47.8,24, 9999.9, 0, 9999.9, 0,   1.3,24,   3.5,24,   8.9, 999.9,   78.4*,  48.4 , 0.00I,999.9, 000000,
421810,99999, 20200217,   63.9,24,   46.2,24, 9999.9, 0, 9999.9, 0,   1.3,24,   4.8,24,  12.0, 999.9,   79.3 ,  49.3 , 0.00I,999.9, 100000,
421810,99999, 20200218,   64.4,24,   44.1,24, 9999.9, 0, 9999.9, 0,   1.3,24,   4.3,24,  12.0, 999.9,   79.5 ,  47.8 , 0.00I,999.9, 000000,
421810,99999, 20200219,   68.0,24,   48.2,24, 9999.9, 0, 9999.9, 0,   1.6,24,   8.1,24,  13.0,  18.1,   79.9 ,  48.9 , 0.00I,999.9, 000000,
421810,99999, 20200220,   69.5,24,   53.9,24, 9999.9, 0, 9999.9, 0,   1.4,24,   9.3,24,  15.0,  25.1,   79.9 ,  57.0 ,99.99 ,999.9, 010010,
421810,99999, 20200221,   61.2,24,   55.6,24, 9999.9, 0, 9999.9, 0,   1.7,24,   7.3,24,  18.1,  25.1,   82.4 ,  55.4*, 0.12G,999.9, 000000,
421810,99999, 20200222,   65.1,24,   56.1,24, 9999.9, 0, 9999.9, 0,   1.4,24,   3.5,24,   8.0, 999.9,   75.2*,  54.3 , 0.00G,999.9, 000000,
421810,99999, 20200223,   68.6,24,   57.6,24, 9999.9, 0, 9999.9, 0,   1.2,24,   3.6,24,   8.0, 999.9,   78.8*,  56.5 , 0.00I,999.9, 000000,
421810,99999, 20200224,   67.5,24,   56.7,24, 9999.9, 0, 9999.9, 0,   1.2,24,   4.3,24,   8.0, 999.9,   79.0 ,  54.0 , 0.00I,999.9, 100000,
421810,99999, 20200225,   67.4,24,   57.1,24, 9999.9, 0, 9999.9, 0,   0.8,24,   3.7,24,   9.9, 999.9,   79.7 ,  55.4 , 0.00I,999.9, 100000,
421810,99999, 20200226,   68.2,24,   56.0,24, 9999.9, 0, 9999.9, 0,   1.0,24,   4.3,24,   8.9, 999.9,   79.5 ,  56.7 , 0.00I,999.9, 100000,
421810,99999, 20200227,   70.0,24,   60.8,24, 9999.9, 0, 9999.9, 0,   1.1,24,   5.6,24,   9.9, 999.9,   81.0 ,  57.7 , 0.00I,999.9, 000000,
421810,99999, 20200228,   70.1,24,   60.3,24, 9999.9, 0, 9999.9, 0,   1.3,24,   8.3,24,  15.9,  18.1,   81.9 ,  61.9 , 0.00I,999.9, 000000,
421810,99999, 20200229,   67.7,24,   60.1,24, 9999.9, 0, 9999.9, 0,   1.4,24,   9.3,24,  15.9,  18.1,   81.7 ,  60.4*, 0.59E,999.9, 010010,
421810,99999, 20200301,   69.1,24,   58.7,24, 9999.9, 0, 9999.9, 0,   1.7,24,   2.7,24,   6.0, 999.9,   83.5 ,  57.0 , 0.00I,999.9, 000000,
421810,99999, 20200302,   70.6,24,   59.6,24, 9999.9, 0, 9999.9, 0,   1.2,24,   1.8,24,   7.0, 999.9,   82.4*,  59.5 , 0.00I,999.9, 000000,
421810,99999, 20200303,   71.0,24,   54.7,24, 9999.9, 0, 9999.9, 0,   1.3,24,   3.2,24,   7.0, 999.9,   82.8 ,  58.6 , 0.00I,999.9, 000000,
421810,99999, 20200304,   69.3,24,   56.1,24, 9999.9, 0, 9999.9, 0,   1.6,24,   5.7,24,  13.0,  18.1,   83.1 ,  59.2 ,99.99 ,999.9, 010010,
421810,99999, 20200305,   66.4,24,   55.4,24, 9999.9, 0, 9999.9, 0,   1.6,24,   8.3,24,  13.0,  25.1,   84.9 ,  57.0 , 0.24G,999.9, 010010,
421810,99999, 20200306,   60.6,24,   57.3,24, 9999.9, 0, 9999.9, 0,   1.2,24,   7.2,24,  15.0,  25.1,   69.8*,  55.4*, 0.59G,999.9, 010010,
421810,99999, 20200307,   63.6,24,   58.0,24, 9999.9, 0, 9999.9, 0,   1.4,24,   3.6,24,   8.0, 999.9,   68.0*,  54.0 , 0.87G,999.9, 000000,
421810,99999, 20200308,   64.6,24,   55.2,24, 9999.9, 0, 9999.9, 0,   1.2,24,   4.9,24,  12.0, 999.9,   77.0*,  54.3 , 0.00G,999.9, 100000,
421810,99999, 20200309,   65.6,24,   52.0,24, 9999.9, 0, 9999.9, 0,   1.4,24,   6.1,24,  12.0, 999.9,   77.0*,  54.1 , 0.00I,999.9, 100000,
421810,99999, 20200310,   67.8,24,   53.5,24, 9999.9, 0, 9999.9, 0,   1.7,24,   3.2,24,   7.0, 999.9,   79.5 ,  50.4 , 0.00H,999.9, 010000,
