STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421230,99999, 20200101,   41.0, 8,   40.3, 8, 1023.7, 8, 9999.9, 0,   0.0, 8,   0.6, 8,   1.0, 999.9,   47.5 ,  34.7 , 0.00I,999.9, 100000,
421230,99999, 20200102,   50.4, 8,   45.4, 8, 1023.3, 8, 9999.9, 0,   0.6, 8,   0.2, 8,   1.9, 999.9,   60.8*,  39.9 , 0.00I,999.9, 100000,
421230,99999, 20200103,   52.8, 7,   44.0, 7, 1020.3, 7, 9999.9, 0,   1.5, 7,   0.0, 7, 999.9, 999.9,   66.2*,  40.6 , 0.00I,999.9, 000000,
421230,99999, 20200104,   52.7, 8,   46.3, 8, 1018.9, 8, 9999.9, 0,   1.1, 8,   0.0, 8, 999.9, 999.9,   69.1 ,  40.8 , 0.00I,999.9, 000000,
421230,99999, 20200105,   51.8, 8,   48.6, 8, 1019.7, 7, 9999.9, 0,   0.7, 8,   0.2, 8,   1.9, 999.9,   65.1 ,  42.8 , 0.02E,999.9, 010000,
421230,99999, 20200106,   50.6, 8,   49.6, 8, 1020.3, 8, 9999.9, 0,   0.5, 8,   0.8, 8,   2.9, 999.9,   57.4 ,  48.9 , 0.12G,999.9, 010000,
421230,99999, 20200107,   51.7, 7,   50.6, 7, 1018.0, 6, 9999.9, 0,   0.7, 7,   0.1, 7,   1.0, 999.9,   53.2*,  49.6 , 0.63G,999.9, 010000,
421230,99999, 20200108,   49.6, 8,   47.2, 8, 1018.2, 8, 9999.9, 0,   0.6, 8,   0.4, 8,   2.9, 999.9,   55.4*,  43.5*, 0.04G,999.9, 100000,
421230,99999, 20200109,   48.8, 8,   43.9, 8, 1022.2, 8, 9999.9, 0,   1.4, 8,   0.4, 8,   1.9, 999.9,   59.7*,  38.8 , 0.00G,999.9, 100000,
421230,99999, 20200110,   50.9, 8,   41.8, 8, 1022.3, 7, 9999.9, 0,   2.1, 8,   0.7, 8,   2.9, 999.9,   62.4 ,  39.9 , 0.00I,999.9, 000000,
421230,99999, 20200111,   53.6, 7,   44.5, 7, 1021.0, 7, 9999.9, 0,   2.1, 7,   0.1, 7,   1.0, 999.9,   66.7 ,  42.4 , 0.00I,999.9, 000000,
421230,99999, 20200112,   56.3, 7,   47.7, 7, 1016.0, 7, 9999.9, 0,   1.2, 7,   0.0, 7, 999.9, 999.9,   66.7 ,  48.4 , 0.00I,999.9, 000000,
421230,99999, 20200113,   50.7, 7,   48.9, 7, 1011.8, 7, 9999.9, 0,   1.8, 7,   1.0, 7,   1.9, 999.9,   65.1 ,  47.5*, 0.47G,999.9, 010010,
421230,99999, 20200114,   48.8, 8,   46.0, 8, 1018.3, 8, 9999.9, 0,   0.9, 8,   0.1, 8,   1.0, 999.9,   56.8*,  40.8 , 0.35G,999.9, 100000,
421230,99999, 20200115,   48.2, 8,   45.0, 8, 1018.9, 8, 9999.9, 0,   0.6, 8,   0.0, 8, 999.9, 999.9,   59.4 ,  38.1 , 0.00G,999.9, 100000,
421230,99999, 20200116,   49.7, 8,   45.4, 8, 1017.8, 8, 9999.9, 0,   0.9, 8,   0.0, 8, 999.9, 999.9,   60.1*,  40.6 , 0.00I,999.9, 100000,
421230,99999, 20200117,   49.9, 7,   45.6, 7, 1018.9, 7, 9999.9, 0,   1.2, 7,   0.1, 7,   1.0, 999.9,   61.5 ,  39.4 , 0.00I,999.9, 100000,
421230,99999, 20200118,   51.2, 8,   45.6, 8, 1020.5, 8, 9999.9, 0,   1.3, 8,   0.0, 8, 999.9, 999.9,   64.4 ,  38.7 , 0.00I,999.9, 100000,
421230,99999, 20200119,   50.7, 8,   47.1, 8, 1021.9, 8, 9999.9, 0,   0.6, 8,   0.0, 8, 999.9, 999.9,   63.7 ,  41.0 , 0.00I,999.9, 100000,
421230,99999, 20200120,   55.1, 8,   49.3, 8, 1019.4, 8, 9999.9, 0,   0.9, 8,   0.0, 8, 999.9, 999.9,   62.6 ,  45.7 , 0.00I,999.9, 000000,
421230,99999, 20200121,   57.2, 7,   47.8, 7, 1021.0, 7, 9999.9, 0,   1.7, 7,   0.3, 7,   1.0, 999.9,   63.7*,  50.7*, 0.00I,999.9, 000000,
421230,99999, 20200122,   55.5, 8,   46.4, 8, 1023.4, 8, 9999.9, 0,   2.1, 8,   0.7, 8,   1.9, 999.9,   68.2 ,  45.7 , 0.00I,999.9, 000000,
421230,99999, 20200123,   55.2, 8,   42.9, 8, 1021.5, 8, 9999.9, 0,   2.3, 8,   0.6, 8,   1.9, 999.9,   66.9 ,  45.3 , 0.00I,999.9, 000000,
421230,99999, 20200124,   57.0, 7,   43.9, 7, 1018.2, 7, 9999.9, 0,   2.1, 7,   1.0, 7,   1.9, 999.9,   68.0*,  45.5 , 0.00I,999.9, 000000,
421230,99999, 20200125,   54.9, 8,   47.3, 8, 1017.1, 8, 9999.9, 0,   1.2, 8,   0.6, 8,   1.9, 999.9,   69.8 ,  45.1 , 0.02E,999.9, 010000,
421230,99999, 20200126,   56.0, 8,   46.1, 8, 1015.6, 8, 9999.9, 0,   2.1, 8,   0.5, 8,   1.9, 999.9,   68.7*,  43.7 , 0.00I,999.9, 000000,
421230,99999, 20200127,   56.8, 8,   51.2, 8, 1011.7, 8, 9999.9, 0,   1.3, 8,   2.8, 8,   6.0, 999.9,   69.8 ,  50.4 , 0.00G,999.9, 010000,
421230,99999, 20200128,   54.6, 8,   52.7, 8, 1011.2, 8, 9999.9, 0,   0.8, 8,   0.2, 8,   1.0, 999.9,   67.6 ,  52.0 , 0.16G,999.9, 010000,
421230,99999, 20200129,   53.5, 7,   50.7, 7, 1018.7, 7, 9999.9, 0,   1.0, 7,   0.6, 7,   1.9, 999.9,   62.2*,  48.7 , 0.12G,999.9, 100000,
421230,99999, 20200130,   55.8, 7,   48.1, 7, 1019.7, 7, 9999.9, 0,   2.0, 7,   1.0, 7,   2.9, 999.9,   66.4 ,  48.9 , 0.00G,999.9, 000000,
421230,99999, 20200131,   53.8, 8,   46.4, 8, 1016.2, 8, 9999.9, 0,   1.6, 8,   0.1, 8,   1.0, 999.9,   66.2 ,  41.0 , 0.00I,999.9, 100000,
421230,99999, 20200201,   52.7, 7,   46.0, 7, 1020.7, 7, 9999.9, 0,   1.6, 7,   0.3, 7,   1.9, 999.9,   67.5 ,  41.9 , 0.00I,999.9, 100000,
421230,99999, 20200202,   55.3, 8,   46.8, 8, 1021.2, 8, 9999.9, 0,   1.5, 8,   0.7, 8,   2.9, 999.9,   68.5 ,  43.5 , 0.00I,999.9, 100000,
421230,99999, 20200203,   54.2, 8,   44.8, 8, 1019.0, 8, 9999.9, 0,   1.9, 8,   0.2, 8,   1.9, 999.9,   68.9 ,  42.4 , 0.00I,999.9, 000000,
421230,99999, 20200204,   53.0, 7,   46.7, 7, 1018.3, 7, 9999.9, 0,   1.1, 7,   1.2, 7,   1.9, 999.9,   69.8 ,  43.5 , 0.00I,999.9, 000000,
