STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
422990,99999, 20200101,   50.0, 4,   32.3, 4, 9999.9, 0,  826.0, 4,   5.3, 4,   1.0, 4,   1.9, 999.9,   53.2*,  43.2 , 0.00I,999.9, 000000,
422990,99999, 20200102,   50.7, 4,   35.0, 4, 9999.9, 0,  825.8, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   55.4*,  44.2 , 0.00I,999.9, 000000,
422990,99999, 20200103,   48.1, 4,   39.4, 4, 9999.9, 0,  822.4, 4,   2.8, 4,   0.5, 4,   1.9, 999.9,   51.4*,  43.9 , 0.00A,999.9, 010000,
422990,99999, 20200104,   44.0, 4,   41.8, 4, 9999.9, 0,  820.3, 4,   2.2, 4,   0.0, 4, 999.9, 999.9,   45.0*,  38.1 , 1.34G,999.9, 010000,
422990,99999, 20200105,   42.1, 4,   36.7, 4, 9999.9, 0,  818.2, 4,   3.4, 4,   1.5, 4,   6.0, 999.9,   45.7*,  38.8 , 0.12G,999.9, 000000,
422990,99999, 20200106,   45.1, 4,   33.4, 4, 9999.9, 0,  821.3, 4,   5.3, 4,   0.5, 4,   1.9, 999.9,   50.5 ,  36.0 , 0.01G,999.9, 000000,
422990,99999, 20200107,   47.9, 4,   35.9, 4, 9999.9, 0,  819.9, 4,   4.3, 4,   1.0, 4,   1.9, 999.9,   54.1 ,  38.5 , 0.01G,999.9, 000000,
422990,99999, 20200108,   46.9, 4,   39.5, 4, 9999.9, 0,  820.8, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   49.6*,  40.8 , 0.00G,999.9, 000000,
422990,99999, 20200109,   44.2, 4,   40.9, 4, 9999.9, 0,  820.4, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   45.3*,  41.5 , 0.12G,999.9, 000000,
422990,99999, 20200110,   46.3, 4,   41.5, 4, 9999.9, 0,  819.8, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   48.2*,  40.8 , 0.00G,999.9, 000000,
422990,99999, 20200113,   51.7, 4,   38.9, 4, 9999.9, 0,  817.8, 4,   5.3, 4,   0.5, 4,   1.9, 999.9,   58.3*,  43.2 , 0.00I,999.9, 000000,
422990,99999, 20200114,   50.7, 4,   40.4, 4, 9999.9, 0,  818.6, 4,   5.3, 4,   0.2, 4,   1.0, 999.9,   55.0*,  42.8 , 0.00I,999.9, 000000,
422990,99999, 20200115,   51.2, 4,   42.9, 4, 9999.9, 0,  820.3, 4,   2.5, 4,   0.5, 4,   1.0, 999.9,   54.3*,  43.9 , 0.00I,999.9, 000000,
422990,99999, 20200116,   51.2, 4,   42.7, 4, 9999.9, 0,  821.0, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   55.4*,  44.1 , 0.00I,999.9, 000000,
422990,99999, 20200117,   47.4, 4,   43.9, 4, 9999.9, 0,  822.2, 4,   0.9, 4,   0.0, 4, 999.9, 999.9,   49.6*,  44.2 , 0.08A,999.9, 010000,
422990,99999, 20200118,   50.4, 4,   45.9, 4, 9999.9, 0,  820.7, 4,   1.9, 4,   0.5, 4,   1.9, 999.9,   54.0*,  44.2 , 0.20G,999.9, 000000,
422990,99999, 20200119,   50.3, 4,   40.7, 4, 9999.9, 0,  819.4, 4,   2.2, 4,   2.5, 4,   4.1, 999.9,   55.0*,  43.3 , 0.00G,999.9, 000000,
422990,99999, 20200120,   48.2, 4,   32.5, 4, 9999.9, 0,  819.5, 4,   4.3, 4,   1.0, 4,   1.9, 999.9,   54.3*,  38.7 , 0.00I,999.9, 000000,
422990,99999, 20200121,   48.7, 4,   36.0, 4, 9999.9, 0,  821.4, 4,   2.5, 4,   0.5, 4,   1.9, 999.9,   53.2*,  39.0 , 0.00I,999.9, 000000,
422990,99999, 20200122,   47.1, 4,   38.9, 4, 9999.9, 0,  820.7, 4,   2.2, 4,   0.5, 4,   1.0, 999.9,   52.2*,  38.7 , 0.00I,999.9, 000000,
422990,99999, 20200123,   43.0, 4,   39.1, 4, 9999.9, 0,  818.3, 4,   0.3, 4,   0.2, 4,   1.0, 999.9,   44.2*,  40.3 , 0.02G,999.9, 110000,
422990,99999, 20200124,   43.0, 4,   39.7, 4, 9999.9, 0,  818.7, 4,   0.7, 4,   0.0, 4, 999.9, 999.9,   44.6*,  40.5 , 0.04G,999.9, 100000,
422990,99999, 20200125,   46.7, 4,   35.3, 4, 9999.9, 0,  818.3, 4,   2.2, 4,   0.5, 4,   1.9, 999.9,   54.3*,  37.2 , 0.00G,999.9, 000000,
422990,99999, 20200126,   46.1, 4,   38.0, 4, 9999.9, 0,  817.1, 4,   2.5, 4,   0.5, 4,   1.9, 999.9,   52.5*,  38.3 , 0.00I,999.9, 000000,
422990,99999, 20200127,   46.0, 4,   37.4, 4, 9999.9, 0,  816.6, 4,   1.9, 4,   0.2, 4,   1.0, 999.9,   50.7*,  39.6 , 0.00I,999.9, 000000,
