STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
424100,99999, 20200101,   65.6,24,   57.8,24, 9999.9, 0, 9999.9, 0,   1.4,24,   3.4,24,   9.9, 999.9,   77.0*,  51.4 , 0.00E,999.9, 010000,
424100,99999, 20200102,   68.2,24,   58.1,24, 9999.9, 0, 9999.9, 0,   1.9,24,   3.4,24,   8.9, 999.9,   78.8*,  58.5 , 0.00G,999.9, 010000,
424100,99999, 20200103,   63.4,24,   60.3,24, 9999.9, 0, 9999.9, 0,   1.5,24,   3.0,24,   9.9, 999.9,   69.8*,  57.2*, 0.00G,999.9, 010000,
424100,99999, 20200104,   64.6,24,   60.5,24, 9999.9, 0, 9999.9, 0,   1.7,24,   1.5,24,   8.0, 999.9,   73.4*,  55.0 , 0.04G,999.9, 000000,
424100,99999, 20200105,   62.2,24,   59.3,24, 9999.9, 0, 9999.9, 0,   1.6,24,   2.8,24,   9.9, 999.9,   71.6*,  54.7 , 0.00G,999.9, 010010,
424100,99999, 20200106,   62.0,24,   57.5,24, 9999.9, 0, 9999.9, 0,   1.3,24,   2.4,24,   9.9, 999.9,   69.8*,  51.8 , 0.28G,999.9, 100000,
424100,99999, 20200107,   60.7,24,   56.7,24, 9999.9, 0, 9999.9, 0,   1.4,24,   1.0,24,   6.0, 999.9,   73.6 ,  48.9 , 0.00G,999.9, 100000,
424100,99999, 20200108,   63.5,24,   57.6,24, 9999.9, 0, 9999.9, 0,   1.5,24,   2.1,24,   9.9, 999.9,   75.2*,  48.6 , 0.00I,999.9, 100000,
424100,99999, 20200109,   64.1,24,   60.0,24, 9999.9, 0, 9999.9, 0,   1.2,24,   1.1,24,   7.0, 999.9,   75.2*,  55.0 , 0.00G,999.9, 010000,
424100,99999, 20200110,   64.9,24,   59.2,24, 9999.9, 0, 9999.9, 0,   1.5,24,   1.0,24,   6.0, 999.9,   77.0*,  53.2 , 0.00G,999.9, 100000,
424100,99999, 20200111,   64.1,23,   58.0,23, 9999.9, 0, 9999.9, 0,   1.4,23,   1.3,23,   8.9, 999.9,   76.3 ,  52.5 , 0.00I,999.9, 000000,
424100,99999, 20200112,   64.0,24,   57.4,24, 9999.9, 0, 9999.9, 0,   1.6,24,   1.9,24,   9.9, 999.9,   77.0*,  49.3 , 0.00I,999.9, 100000,
424100,99999, 20200113,   65.3,24,   59.0,24, 9999.9, 0, 9999.9, 0,   1.7,24,   2.2,24,  11.1, 999.9,   77.0*,  48.9 , 0.00I,999.9, 000000,
424100,99999, 20200114,   66.4,24,   59.8,24, 9999.9, 0, 9999.9, 0,   1.6,24,   1.0,24,   6.0, 999.9,   78.8*,  51.6 , 0.00I,999.9, 100000,
424100,99999, 20200115,   67.4,24,   61.0,24, 9999.9, 0, 9999.9, 0,   1.4,24,   1.1,24,   8.0, 999.9,   78.8*,  51.8 , 0.00I,999.9, 000000,
424100,99999, 20200116,   67.9,24,   60.3,24, 9999.9, 0, 9999.9, 0,   1.6,24,   1.1,24,   7.0, 999.9,   80.6*,  53.6 , 0.00I,999.9, 000000,
424100,99999, 20200117,   67.2,24,   60.3,24, 9999.9, 0, 9999.9, 0,   1.4,24,   1.4,24,   6.0, 999.9,   78.8*,  52.0 , 0.00I,999.9, 000000,
424100,99999, 20200118,   68.6,24,   61.7,24, 9999.9, 0, 9999.9, 0,   1.4,24,   1.2,24,   4.1, 999.9,   80.6*,  53.2 , 0.00I,999.9, 000000,
