STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
431285,99999, 20200101,   73.4,24,   68.7,24, 9999.9, 0, 9999.9, 0,   2.9,24,   4.9,24,   8.0, 999.9,   82.4*,  68.0*, 0.00I,999.9, 000000,
431285,99999, 20200102,   74.4,24,   69.2,24, 9999.9, 0, 9999.9, 0,   3.0,24,   5.0,24,   8.0, 999.9,   84.2*,  68.0*, 0.00I,999.9, 000000,
431285,99999, 20200103,   72.5,24,   68.6,24, 9999.9, 0, 9999.9, 0,   2.5,24,   4.8,24,   8.0, 999.9,   82.4*,  68.0*,99.99 ,999.9, 010000,
431285,99999, 20200104,   72.6,24,   68.8,24, 9999.9, 0, 9999.9, 0,   2.2,24,   4.8,24,   8.0, 999.9,   84.2*,  66.2*, 0.00I,999.9, 000000,
431285,99999, 20200105,   71.4,23,   63.1,23, 9999.9, 0, 9999.9, 0,   3.1,23,   6.7,23,   8.0, 999.9,   80.6*,  62.6*, 0.00I,999.9, 000000,
431285,99999, 20200106,   71.8,24,   67.9,24, 9999.9, 0, 9999.9, 0,   3.0,24,   4.9,24,   8.0, 999.9,   80.6*,  62.6*, 0.00I,999.9, 000000,
431285,99999, 20200107,   73.2,24,   69.5,24, 9999.9, 0, 9999.9, 0,   2.8,24,   4.7,24,   8.0, 999.9,   82.4*,  68.0*, 0.00I,999.9, 000000,
431285,99999, 20200108,   73.5,24,   67.8,24, 9999.9, 0, 9999.9, 0,   2.7,24,   5.1,24,   8.0, 999.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
431285,99999, 20200109,   72.1,24,   67.9,24, 9999.9, 0, 9999.9, 0,   2.8,24,   5.1,24,   8.0, 999.9,   80.6*,  64.4*, 0.00I,999.9, 000000,
431285,99999, 20200110,   70.8,24,   66.1,24, 9999.9, 0, 9999.9, 0,   2.3,24,   5.7,24,   8.0, 999.9,   82.4*,  60.8*, 0.00I,999.9, 000000,
