STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
426230,99999, 20200101,   57.8,16,   53.8,16, 1023.5, 5,  933.8, 5,   1.3,16,   1.7,16,   5.1, 999.9,   68.0*,  49.1 , 0.12E,999.9, 110000,
426230,99999, 20200102,   56.7,15,   54.4,15, 1023.2, 6,  932.8, 6,   1.1,15,   1.7,15,   5.1, 999.9,   62.6*,  50.0*, 0.12G,999.9, 100000,
426230,99999, 20200103,   55.7,15,   55.1,15, 1019.4, 8,  929.9, 8,   0.7,15,   2.1,14,   6.0, 999.9,   60.8*,  47.8*, 0.04G,999.9, 110010,
426230,99999, 20200104,   59.9,16,   54.6,16, 1015.9, 5,  926.8, 5,   2.2,16,   2.7,16,   6.0, 999.9,   68.0*,  51.8*, 1.22G,999.9, 010000,
426230,99999, 20200105,   58.3,14,   53.0,14, 1015.1, 5,  926.3, 5,   1.8,14,   3.5,14,   9.9, 999.9,   66.2*,  45.9 , 0.00G,999.9, 010000,
426230,99999, 20200106,   59.1,15,   46.4,15, 1018.5, 7,  929.1, 7,   2.1,15,   3.1,15,   7.0, 999.9,   69.8*,  47.1*, 0.01G,999.9, 000000,
426230,99999, 20200107,   57.9,16,   48.5,16, 1016.8, 6,  927.2, 6,   1.7,16,   2.2,16,   8.0, 999.9,   69.8*,  41.4 , 0.00G,999.9, 000000,
426230,99999, 20200108,   58.1,16,   50.1,16, 1017.5, 5,  927.7, 5,   2.1,16,   2.8,16,   8.0, 999.9,   69.8*,  41.9 , 0.00I,999.9, 100000,
426230,99999, 20200109,   58.2,16,   53.9,16, 1015.9, 5,  926.9, 5,   1.4,16,   2.9,16,   6.0, 999.9,   64.4*,  48.0 , 0.02G,999.9, 010000,
426230,99999, 20200110,   59.7,14,   51.7,14, 1015.8, 7,  926.8, 7,   2.1,14,   2.8,14,   8.9, 999.9,   71.6*,  47.5*, 0.02G,999.9, 000000,
426230,99999, 20200111,   57.7,16,   47.9,16, 1016.1, 8,  927.0, 8,   1.7,16,   2.9,16,   6.0, 999.9,   71.6 ,  41.0 , 0.00G,999.9, 000000,
426230,99999, 20200112,   59.0,16,   48.9,16, 1015.4, 6,  925.9, 6,   2.0,16,   2.5,16,   4.1, 999.9,   71.6*,  40.1 , 0.00I,999.9, 000000,
426230,99999, 20200113,   59.8,15,   46.9,15, 1016.1, 4,  925.3, 4,   2.1,15,   2.3,15,   5.1, 999.9,   72.3*,  40.6 , 0.00I,999.9, 000000,
426230,99999, 20200114,   58.7,16,   49.6,16, 1014.9, 5,  925.7, 5,   1.7,16,   2.0,16,   6.0, 999.9,   72.0*,  41.9 , 0.00I,999.9, 100000,
426230,99999, 20200115,   58.9,16,   49.8,15, 1016.3, 6,  927.1, 6,   1.9,16,   2.3,16,   5.1, 999.9,   72.3*,  43.7 , 0.00I,999.9, 100000,
426230,99999, 20200116,   59.8,16,   49.9,16, 1017.6, 6,  928.2, 6,   2.1,16,   3.2,16,   8.9, 999.9,   74.1*,  41.5 , 0.00I,999.9, 000000,
426230,99999, 20200117,   60.9,16,   48.7,16, 1018.1, 6,  928.9, 6,   1.8,16,   2.3,15,   5.1, 999.9,   75.2*,  42.6 , 0.00I,999.9, 000000,
426230,99999, 20200118,   58.5,15,   49.4,15, 1017.4, 6,  927.9, 6,   1.6,15,   3.7,15,   6.0, 999.9,   72.3*,  41.5 , 0.00I,999.9, 100000,
426230,99999, 20200119,   59.3,16,   49.8,16, 1016.2, 6,  927.0, 6,   1.7,16,   3.2,16,   7.0, 999.9,   74.1*,  40.1 , 0.00I,999.9, 000000,
426230,99999, 20200120,   59.5,15,   50.7,15, 1016.8, 6,  927.6, 6,   1.6,15,   3.6,15,   9.9, 999.9,   71.6*,  45.0 , 0.00I,999.9, 000000,
426230,99999, 20200121,   61.9,15,   51.8,15, 1018.4, 6,  929.1, 6,   1.8,15,   5.7,15,  12.0, 999.9,   73.4*,  47.3 , 0.00I,999.9, 000000,
426230,99999, 20200122,   58.2,16,   46.6,16, 1018.8, 5,  928.8, 5,   1.9,16,   3.6,16,   8.0, 999.9,   72.0*,  39.4 , 0.00I,999.9, 000000,
426230,99999, 20200123,   58.6,16,   45.2,16, 1016.4, 6,  926.8, 6,   2.1,16,   4.4,16,  12.0, 999.9,   71.6*,  38.3 , 0.00I,999.9, 000000,
426230,99999, 20200124,   56.4,17,   41.3,17, 1017.3, 5,  927.0, 5,   2.0,17,   5.5,17,  12.0, 999.9,   69.8*,  38.7 , 0.00I,999.9, 000000,
426230,99999, 20200125,   55.1,17,   42.7,17, 1017.1, 5,  926.5, 5,   1.8,17,   2.3,17,   8.0, 999.9,   70.5*,  35.1 , 0.00I,999.9, 000000,
426230,99999, 20200126,   56.3,16,   45.0,16, 1014.0, 6,  924.3, 6,   1.9,16,   2.8,16,   8.0, 999.9,   69.8*,  38.3 , 0.00I,999.9, 000000,
426230,99999, 20200127,   56.1,15,   46.1,15, 1013.3, 7,  924.0, 7,   1.7,15,   4.4,15,   9.9, 999.9,   66.2*,  42.8 , 0.00I,999.9, 000000,
426230,99999, 20200128,   55.9,16,   47.9,16, 1015.9, 5,  925.9, 5,   1.6,16,   2.6,16,   6.0, 999.9,   69.8*,  39.4 , 0.00I,999.9, 100000,
426230,99999, 20200129,   54.9,15,   46.2,15, 1018.3, 5,  928.0, 5,   1.6,15,   2.6,15,   6.0, 999.9,   69.8*,  37.6 , 0.00I,999.9, 100000,
426230,99999, 20200130,   59.1,16,   49.3,16, 1015.1, 4,  925.5, 4,   2.0,16,   3.0,16,   9.9, 999.9,   73.4*,  41.7 , 0.00I,999.9, 000000,
426230,99999, 20200131,   57.1,16,   54.1,16, 1014.6, 7,  925.8, 7,   1.3,16,   2.3,16,   7.0, 999.9,   64.8*,  49.6 , 0.35G,999.9, 010000,
426230,99999, 20200201,   59.5,14,   50.6,14, 1016.0, 5,  927.1, 5,   1.7,14,   2.8,14,   7.0, 999.9,   69.8*,  41.9 , 0.12G,999.9, 100000,
