STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
422200,99999, 20200101,   66.6, 5,   45.2, 5, 1021.8, 5, 9999.9, 0,   2.0, 5,  12.0, 5,  20.0, 999.9,   72.7*,  55.9 , 0.00I,999.9, 000000,
422200,99999, 20200102,   64.3, 5,   50.8, 5, 1022.5, 5, 9999.9, 0,   1.7, 5,  13.6, 5,  18.1, 999.9,   68.7 ,  60.8 , 0.02A,999.9, 010000,
422200,99999, 20200103,   63.3, 5,   52.7, 5, 1018.7, 5, 9999.9, 0,   1.6, 5,  14.4, 5,  22.0, 999.9,   68.7*,  58.8 ,99.99 ,999.9, 010000,
422200,99999, 20200104,   62.0, 5,   59.5, 5, 1016.3, 5, 9999.9, 0,   0.7, 5,   2.0, 5,   4.1, 999.9,   66.4 ,  57.7 , 0.16G,999.9, 010000,
422200,99999, 20200105,   59.1, 5,   57.7, 5, 1015.1, 5, 9999.9, 0,   0.9, 5,   0.8, 5,   4.1, 999.9,   61.2*,  55.8*, 0.47G,999.9, 010010,
422200,99999, 20200106,   62.5, 5,   53.9, 5, 1020.2, 5, 9999.9, 0,   2.2, 5,   3.2, 5,   9.9, 999.9,   68.7*,  52.0 , 1.18G,999.9, 000000,
422200,99999, 20200107,   63.8, 5,   52.2, 5, 1015.8, 5, 9999.9, 0,   2.0, 5,   6.0, 5,  12.0, 999.9,   69.8*,  55.4 , 0.00G,999.9, 000000,
422200,99999, 20200108,   63.7, 5,   52.2, 5, 1016.4, 5, 9999.9, 0,   2.2, 5,   7.0, 5,  15.0, 999.9,   70.9*,  55.4 , 0.00I,999.9, 000000,
422200,99999, 20200109,   61.4, 5,   53.9, 5, 1016.0, 5, 9999.9, 0,   1.2, 5,   8.4, 5,  18.1, 999.9,   62.2*,  60.1 , 0.04A,999.9, 010000,
422200,99999, 20200110,   63.8, 5,   52.4, 5, 1016.5, 5, 9999.9, 0,   2.2, 5,   7.8, 5,  15.0, 999.9,   68.7*,  56.3 , 0.00I,999.9, 000000,
422200,99999, 20200111,   64.9, 5,   52.3, 5, 1016.5, 5, 9999.9, 0,   2.2, 5,   7.8, 5,  19.0, 999.9,   74.1 ,  55.6 , 0.00I,999.9, 000000,
422200,99999, 20200112,   65.2, 5,   50.9, 5, 1014.2, 5, 9999.9, 0,   2.2, 5,   7.2, 5,  18.1, 999.9,   74.8*,  55.0 , 0.00I,999.9, 000000,
422200,99999, 20200113,   65.3, 5,   48.9, 5, 1012.3, 5, 9999.9, 0,   2.2, 5,  10.0, 5,  20.0, 999.9,   75.2*,  54.1 , 0.00I,999.9, 000000,
422200,99999, 20200114,   65.9, 5,   50.8, 5, 1013.1, 5, 9999.9, 0,   2.2, 5,   8.0, 5,  18.1, 999.9,   75.2*,  56.3 , 0.00I,999.9, 000000,
422200,99999, 20200115,   67.1, 5,   53.7, 5, 1015.1, 5, 9999.9, 0,   2.2, 5,   7.0, 5,  15.0, 999.9,   75.9*,  58.1 , 0.00G,999.9, 010000,
422200,99999, 20200116,   66.9, 5,   54.9, 5, 1015.6, 5, 9999.9, 0,   2.2, 5,   6.4, 5,  18.1, 999.9,   75.9*,  57.6 , 0.00I,999.9, 000000,
422200,99999, 20200117,   69.1, 5,   55.3, 5, 1016.8, 5, 9999.9, 0,   2.2, 5,   6.8, 5,   8.0, 999.9,   75.9*,  60.8 , 0.00I,999.9, 000000,
