STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
423480,99999, 20200101,   54.9,24,   43.9,24, 9999.9, 0, 9999.9, 0,   1.1,24,   7.4,24,  12.0, 999.9,   64.4*,  42.8 , 0.00I,999.9, 000000,
423480,99999, 20200102,   59.4,24,   45.8,24, 9999.9, 0, 9999.9, 0,   1.3,24,   5.1,24,  11.1, 999.9,   68.0*,  50.9 , 0.00I,999.9, 000000,
423480,99999, 20200103,   61.0,24,   48.9,24, 9999.9, 0, 9999.9, 0,   1.5,22,   2.5,23,   6.0, 999.9,   71.6*,  50.0 , 0.00I,999.9, 000000,
423480,99999, 20200104,   59.6,24,   52.1,24, 9999.9, 0, 9999.9, 0,   1.3,24,   1.9,24,   6.0, 999.9,   72.5 ,  49.3 , 0.00I,999.9, 000000,
423480,99999, 20200105,   59.6,24,   51.3,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.4,24,   6.0, 999.9,   69.8 ,  48.2 , 0.00I,999.9, 100000,
423480,99999, 20200106,   61.8,24,   49.5,24, 9999.9, 0, 9999.9, 0,   1.3,24,   4.5,24,   8.9, 999.9,   71.8 ,  49.6 , 0.00I,999.9, 000000,
423480,99999, 20200107,   63.5,24,   50.8,24, 9999.9, 0, 9999.9, 0,   1.5,24,   5.5,24,   8.9, 999.9,   73.9 ,  55.0 , 0.00I,999.9, 000000,
423480,99999, 20200108,   56.4,24,   49.4,24, 9999.9, 0, 9999.9, 0,   1.2,24,   4.3,24,   9.9, 999.9,   73.9 ,  46.4*, 0.00I,999.9, 000000,
423480,99999, 20200109,   54.7,24,   35.4,24, 9999.9, 0, 9999.9, 0,   1.5,24,   3.3,24,   8.0, 999.9,   64.4*,  42.8 , 0.00I,999.9, 000000,
423480,99999, 20200110,   54.8,24,   37.2,24, 9999.9, 0, 9999.9, 0,   1.3,23,   1.4,24,   5.1, 999.9,   66.2*,  41.4 , 0.00I,999.9, 000000,
423480,99999, 20200111,   57.2,24,   38.5,24, 9999.9, 0, 9999.9, 0,   1.6,24,   1.7,24,   5.1, 999.9,   69.8 ,  43.9 , 0.00I,999.9, 000000,
423480,99999, 20200112,   60.7,24,   42.0,24, 9999.9, 0, 9999.9, 0,   1.9,24,   2.5,24,   7.0, 999.9,   71.6*,  43.9 , 0.00I,999.9, 000000,
423480,99999, 20200113,   61.4,24,   48.6,24, 9999.9, 0, 9999.9, 0,   1.4,24,   5.4,22,  14.0,  18.1,   75.9*,  51.8*, 0.00I,999.9, 000000,
423480,99999, 20200114,   59.4,24,   47.1,24, 9999.9, 0, 9999.9, 0,   1.5,24,   3.4,24,   7.0, 999.9,   76.5 ,  50.4 , 0.00I,999.9, 000000,
423480,99999, 20200115,   59.8,24,   47.8,24, 9999.9, 0, 9999.9, 0,   1.4,24,   5.5,24,   8.9, 999.9,   71.6 ,  50.5 , 0.00I,999.9, 000000,
423480,99999, 20200116,   58.0,24,   46.5,24, 9999.9, 0, 9999.9, 0,   1.5,24,   3.8,24,   8.9, 999.9,   68.5 ,  50.0*, 0.00I,999.9, 000000,
423480,99999, 20200117,   58.5,24,   50.0,24, 9999.9, 0, 9999.9, 0,   1.4,24,   2.2,24,   6.0, 999.9,   66.2*,  48.4 , 0.00I,999.9, 000000,
