STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
420560,99999, 20200101,   49.5, 7,   42.2, 7, 9999.9, 0,  977.8, 7,   1.7, 7,   1.0, 7,   1.9, 999.9,   59.0*,  36.7 , 0.00I,999.9, 000000,
420560,99999, 20200102,   52.7, 8,   42.0, 8, 9999.9, 0,  977.3, 8,   2.5, 8,   1.6, 8,   2.9, 999.9,   67.6 ,  43.9 , 0.00I,999.9, 000000,
420560,99999, 20200103,   54.4, 8,   43.9, 8, 9999.9, 0,  973.6, 8,   1.7, 8,   1.0, 8,   1.9, 999.9,   66.2*,  43.2 ,99.99 ,999.9, 010000,
420560,99999, 20200104,   53.6, 8,   44.0, 8, 9999.9, 0,  973.2, 8,   2.3, 8,   0.6, 8,   1.0, 999.9,   65.8 ,  45.0*, 0.00G,999.9, 000000,
420560,99999, 20200105,   50.8, 8,   42.6, 8, 9999.9, 0,  974.3, 8,   1.7, 8,   0.7, 8,   1.0, 999.9,   57.9*,  41.9 , 0.00I,999.9, 000000,
420560,99999, 20200106,   50.6, 8,   47.9, 8, 9999.9, 0,  975.0, 8,   1.2, 8,   0.5, 8,   1.0, 999.9,   54.0*,  47.7 , 0.20E,999.9, 010000,
420560,99999, 20200107,   50.6, 8,   49.8, 8, 9999.9, 0,  971.9, 8,   1.4, 8,   0.4, 8,   1.0, 999.9,   52.2*,  48.2 , 0.75E,999.9, 010000,
420560,99999, 20200108,   48.5, 8,   45.7, 8, 9999.9, 0,  971.2, 8,   1.9, 8,   0.6, 8,   1.0, 999.9,   55.4*,  41.4*,99.99 ,999.9, 010000,
420560,99999, 20200109,   48.5, 8,   41.2, 8, 9999.9, 0,  975.1, 8,   2.5, 8,   1.0, 8,   1.9, 999.9,   59.7*,  38.1 , 0.00I,999.9, 000000,
420560,99999, 20200110,   49.4, 8,   41.5, 8, 9999.9, 0,  975.1, 8,   2.5, 8,   1.2, 8,   1.9, 999.9,   64.4 ,  37.9 , 0.00I,999.9, 000000,
420560,99999, 20200111,   49.5, 6,   41.8, 6, 9999.9, 0,  975.0, 6,   1.9, 6,   1.1, 6,   1.9, 999.9,   56.5*,  39.0 ,99.99 ,999.9, 010000,
420560,99999, 20200112,   58.4, 8,   46.6, 8, 9999.9, 0,  970.6, 8,   1.7, 8,   1.7, 8,   4.1, 999.9,   61.2*,  48.7 , 0.00G,999.9, 010000,
420560,99999, 20200113,   52.4, 6,   50.1, 6, 9999.9, 0,  964.8, 6,   1.2, 6,   5.1, 6,  20.0, 999.9,   61.3 ,  50.4*, 0.12G,999.9, 010010,
420560,99999, 20200114,   50.9, 8,   46.5, 8, 9999.9, 0,  971.7, 8,   2.5, 8,   0.8, 8,   1.9, 999.9,   60.1*,  41.9 , 1.57G,999.9, 000000,
420560,99999, 20200115,   51.1, 8,   47.7, 8, 9999.9, 0,  972.4, 8,   1.2, 8,   0.7, 8,   1.0, 999.9,   59.4*,  43.7 , 0.00G,999.9, 000000,
420560,99999, 20200116,   52.2, 8,   48.0, 8, 9999.9, 0,  971.2, 8,   1.9, 8,   0.7, 8,   1.9, 999.9,   60.4*,  44.6 , 0.00I,999.9, 100000,
420560,99999, 20200117,   54.1, 8,   47.1, 8, 9999.9, 0,  972.2, 8,   2.3, 8,   1.1, 8,   1.9, 999.9,   65.5*,  45.7 , 0.00I,999.9, 000000,
420560,99999, 20200118,   52.9, 8,   48.2, 8, 9999.9, 0,  974.4, 8,   2.0, 8,   1.1, 8,   1.9, 999.9,   59.7*,  45.7*, 0.00I,999.9, 000000,
420560,99999, 20200119,   53.0, 8,   42.3, 8, 9999.9, 0,  974.3, 8,   2.2, 8,   1.1, 8,   1.9, 999.9,   64.4*,  42.6 , 0.00I,999.9, 000000,
420560,99999, 20200120,   54.8, 8,   45.1, 8, 9999.9, 0,  972.7, 8,   2.2, 8,   1.2, 8,   4.1, 999.9,   66.7 ,  45.7 ,99.99 ,999.9, 010000,
420560,99999, 20200121,   51.5, 8,   43.1, 8, 9999.9, 0,  976.1, 8,   2.0, 8,   1.8, 8,   2.9, 999.9,   54.7*,  45.0*, 0.02G,999.9, 010000,
420560,99999, 20200122,   52.6, 8,   39.6, 8, 9999.9, 0,  976.4, 8,   2.5, 8,   1.2, 8,   2.9, 999.9,   66.2*,  42.8 , 0.00G,999.9, 000000,
420560,99999, 20200123,   51.3, 8,   42.4, 8, 9999.9, 0,  974.1, 8,   2.5, 8,   1.0, 8,   1.9, 999.9,   65.5*,  40.1 , 0.00I,999.9, 000000,
420560,99999, 20200124,   52.8, 8,   42.1, 8, 9999.9, 0,  971.5, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   64.0*,  39.4 , 0.00I,999.9, 000000,
420560,99999, 20200125,   54.5, 7,   46.1, 7, 9999.9, 0,  971.6, 7,   2.0, 7,   0.8, 7,   1.0, 999.9,   60.1*,  47.8 , 0.00E,999.9, 010000,
420560,99999, 20200126,   55.2, 8,   45.9, 8, 9999.9, 0,  970.1, 8,   2.5, 8,   1.6, 8,   2.9, 999.9,   70.0 ,  45.5 , 0.00G,999.9, 000000,
420560,99999, 20200127,   57.0, 8,   46.6, 8, 9999.9, 0,  967.8, 8,   2.0, 8,   1.0, 8,   1.9, 999.9,   68.5 ,  44.1 , 0.00I,999.9, 000000,
420560,99999, 20200128,   52.8, 8,   49.7, 8, 9999.9, 0,  967.0, 8,   1.6, 8,   1.8, 8,   4.1, 999.9,   55.2 ,  50.4*, 0.08G,999.9, 010000,
420560,99999, 20200129,   52.1, 8,   46.9, 8, 9999.9, 0,  973.6, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   59.0*,  46.0*, 0.87G,999.9, 000000,
420560,99999, 20200130,   51.8, 8,   45.2, 8, 9999.9, 0,  973.0, 8,   2.5, 8,   1.2, 8,   1.9, 999.9,   63.0*,  42.3 , 0.00G,999.9, 000000,
420560,99999, 20200131,   50.7, 8,   46.0, 8, 9999.9, 0,  970.2, 8,   1.9, 8,   1.3, 8,   2.9, 999.9,   59.0*,  40.8 , 0.00I,999.9, 100000,
420560,99999, 20200201,   51.6, 8,   46.9, 8, 9999.9, 0,  974.6, 8,   2.0, 8,   1.2, 8,   1.9, 999.9,   59.4*,  43.7 , 0.00I,999.9, 000000,
420560,99999, 20200202,   51.3, 8,   46.7, 8, 9999.9, 0,  975.0, 8,   1.4, 8,   1.3, 8,   1.9, 999.9,   61.5*,  42.1 , 0.00I,999.9, 000000,
420560,99999, 20200203,   52.4, 8,   44.6, 8, 9999.9, 0,  973.2, 8,   1.6, 8,   1.2, 8,   1.9, 999.9,   65.5*,  41.7 , 0.00I,999.9, 000000,
420560,99999, 20200204,   52.1, 6,   46.2, 6, 9999.9, 0,  973.2, 6,   1.7, 6,   1.3, 6,   1.9, 999.9,   59.0*,  43.7 , 0.00I,999.9, 000000,
420560,99999, 20200205,   52.6, 7,   43.3, 7, 9999.9, 0,  972.4, 7,   1.2, 7,   0.8, 7,   1.0, 999.9,   64.4*,  42.4 , 0.00I,999.9, 000000,
420560,99999, 20200206,   52.9, 8,   43.7, 8, 9999.9, 0,  971.3, 8,   1.4, 8,   1.1, 8,   1.9, 999.9,   64.4*,  42.4 , 0.00I,999.9, 000000,
420560,99999, 20200207,   53.1, 8,   44.2, 8, 9999.9, 0,  974.7, 8,   1.2, 8,   1.1, 8,   1.9, 999.9,   64.8*,  42.8 , 0.00I,999.9, 000000,
420560,99999, 20200208,   54.5, 8,   46.6, 8, 9999.9, 0,  976.2, 8,   1.7, 8,   0.7, 8,   1.0, 999.9,   67.3*,  42.6 , 0.00I,999.9, 000000,
420560,99999, 20200209,   54.5, 8,   45.4, 8, 9999.9, 0,  976.2, 8,   1.4, 8,   1.3, 8,   1.9, 999.9,   66.6*,  43.2 , 0.00I,999.9, 000000,
420560,99999, 20200210,   54.8, 8,   46.6, 8, 9999.9, 0,  974.4, 8,   1.2, 8,   1.5, 8,   1.9, 999.9,   67.3*,  43.9 , 0.00I,999.9, 000000,
420560,99999, 20200211,   57.3, 8,   49.8, 8, 9999.9, 0,  975.3, 8,   1.2, 8,   1.0, 8,   1.9, 999.9,   64.4*,  46.9 , 0.00I,999.9, 000000,
420560,99999, 20200212,   61.3, 6,   51.2, 6, 9999.9, 0,  974.9, 6,   1.2, 6,   1.6, 6,   1.9, 999.9,   69.8*,  49.3 , 0.00E,999.9, 000000,
420560,99999, 20200213,   64.9, 8,   54.0, 8, 9999.9, 0,  971.3, 8,   2.3, 8,   1.1, 8,   1.9, 999.9,   79.2*,  54.0*, 0.08G,999.9, 000000,
420560,99999, 20200214,   60.3, 8,   52.8, 8, 9999.9, 0,  968.4, 8,   1.4, 8,   1.2, 8,   1.9, 999.9,   73.4*,  50.0 , 0.00G,999.9, 000000,
420560,99999, 20200215,   61.4, 8,   50.5, 8, 9999.9, 0,  969.3, 8,   1.9, 8,   1.5, 8,   1.9, 999.9,   74.8*,  50.0 , 0.00I,999.9, 000000,
420560,99999, 20200216,   62.8, 7,   47.9, 7, 9999.9, 0,  972.1, 7,   1.4, 7,   1.1, 7,   1.9, 999.9,   75.2*,  52.2 , 0.00I,999.9, 000000,
420560,99999, 20200217,   60.5, 8,   47.0, 8, 9999.9, 0,  972.8, 8,   1.2, 8,   1.6, 8,   7.0, 999.9,   74.5*,  47.5 , 0.00I,999.9, 000000,
420560,99999, 20200218,   62.3, 7,   49.6, 7, 9999.9, 0,  969.4, 7,   1.2, 7,   1.4, 7,   1.9, 999.9,   75.2*,  49.5 , 0.00I,999.9, 000000,
420560,99999, 20200219,   66.5, 8,   46.5, 8, 9999.9, 0,  968.1, 8,   1.2, 8,   2.0, 8,   4.1, 999.9,   73.0*,  53.1 ,99.99 ,999.9, 010010,
420560,99999, 20200220,   63.7, 7,   45.4, 7, 9999.9, 0,  970.6, 7,   2.1, 7,   2.7, 7,   4.1, 999.9,   68.7*,  56.1*, 0.02G,999.9, 010000,
420560,99999, 20200221,   61.3, 8,   50.1, 8, 9999.9, 0,  975.3, 8,   2.3, 8,   1.3, 8,   2.9, 999.9,   73.0*,  52.7 , 0.51G,999.9, 000000,
420560,99999, 20200222,   61.8, 8,   52.7, 8, 9999.9, 0,  976.6, 8,   2.5, 8,   1.3, 8,   1.9, 999.9,   73.0*,  51.3 , 0.00G,999.9, 000000,
420560,99999, 20200223,   62.6, 8,   53.5, 8, 9999.9, 0,  973.9, 8,   2.5, 8,   0.8, 8,   1.0, 999.9,   73.4*,  52.3 , 0.00I,999.9, 000000,
420560,99999, 20200224,   63.1, 8,   54.9, 8, 9999.9, 0,  970.6, 8,   2.0, 8,   1.2, 8,   1.9, 999.9,   74.1*,  53.2 , 0.00I,999.9, 000000,
420560,99999, 20200225,   63.6, 8,   52.9, 8, 9999.9, 0,  969.4, 8,   1.2, 8,   1.1, 8,   1.9, 999.9,   75.6*,  51.6 , 0.00I,999.9, 000000,
420560,99999, 20200226,   64.4, 8,   54.5, 8, 9999.9, 0,  969.7, 8,   1.2, 8,   1.2, 8,   1.9, 999.9,   75.2*,  52.3 , 0.00I,999.9, 000000,
420560,99999, 20200227,   65.8, 8,   59.2, 8, 9999.9, 0,  969.9, 7,   1.2, 8,   0.8, 8,   1.9, 999.9,   74.8*,  57.4 , 0.00I,999.9, 000000,
420560,99999, 20200228,   65.3, 7,   59.8, 7, 9999.9, 0,  969.7, 7,   1.1, 7,   1.0, 7,   1.9, 999.9,   71.6*,  58.6 , 0.00A,999.9, 100000,
420560,99999, 20200229,   62.8, 8,   51.7, 8, 9999.9, 0,  969.6, 8,   2.2, 8,   2.4, 8,   4.1, 999.9,   74.1*,  55.2 , 0.79G,999.9, 010010,
420560,99999, 20200301,   64.5, 8,   53.3, 8, 9999.9, 0,  970.3, 8,   2.5, 8,   1.3, 8,   1.9, 999.9,   74.7*,  53.4 , 0.16G,999.9, 000000,
420560,99999, 20200302,   64.2, 8,   54.3, 8, 9999.9, 0,  969.0, 8,   2.5, 8,   1.7, 8,   2.9, 999.9,   75.9*,  53.6 , 0.00G,999.9, 000000,
420560,99999, 20200303,   65.1, 8,   54.5, 8, 9999.9, 0,  966.9, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   76.6*,  53.4 , 0.00I,999.9, 000000,
420560,99999, 20200304,   65.7, 8,   55.8, 8, 9999.9, 0,  966.5, 8,   1.7, 8,   1.5, 8,   2.9, 999.9,   76.3*,  56.3 ,99.99 ,999.9, 010010,
420560,99999, 20200305,   59.0, 8,   53.0, 8, 9999.9, 0,  967.0, 8,   1.6, 8,   2.2, 8,   4.1, 999.9,   63.7*,  55.4*, 0.83G,999.9, 010010,
420560,99999, 20200306,   55.6, 8,   52.8, 8, 9999.9, 0,  966.3, 8,   2.2, 8,   1.5, 8,   2.9, 999.9,   57.6*,  52.9 , 0.59G,999.9, 010000,
420560,99999, 20200307,   55.9, 7,   50.1, 7, 9999.9, 0,  970.8, 7,   2.0, 7,   1.9, 7,   2.9, 999.9,   59.4*,  51.4 , 0.71G,999.9, 010000,
420560,99999, 20200308,   63.3, 6,   52.5, 6, 9999.9, 0,  973.3, 6,   2.1, 6,   1.3, 6,   1.9, 999.9,   70.5*,  53.1 , 0.08G,999.9, 000000,
420560,99999, 20200309,   60.7, 8,   50.3, 8, 9999.9, 0,  968.6, 8,   2.5, 8,   1.2, 8,   1.9, 999.9,   73.4*,  48.6 , 0.00G,999.9, 000000,
420560,99999, 20200310,   61.3, 8,   47.3, 8, 9999.9, 0,  967.2, 8,   2.5, 8,   1.0, 8,   1.9, 999.9,   74.1 ,  49.6 , 0.00I,999.9, 000000,
420560,99999, 20200311,   62.0, 8,   51.6, 8, 9999.9, 0,  966.0, 8,   1.9, 8,   2.3, 8,   8.9, 999.9,   71.6*,  52.5 , 0.08E,999.9, 010010,
420560,99999, 20200312,   59.8, 8,   51.2, 8, 9999.9, 0,  969.5, 8,   2.2, 8,   1.8, 8,   2.9, 999.9,   66.9*,  53.2*, 1.02G,999.9, 010010,
420560,99999, 20200313,   61.3, 8,   48.0, 8, 9999.9, 0,  971.0, 8,   2.3, 8,   2.5, 8,   6.0, 999.9,   75.2 ,  50.9 , 0.55G,999.9, 010010,
420560,99999, 20200314,   58.3, 7,   48.9, 7, 9999.9, 0,  972.2, 7,   2.3, 7,   1.8, 7,   2.9, 999.9,   69.3*,  51.1*, 0.39G,999.9, 010100,
420560,99999, 20200315,   62.3, 7,   52.5, 7, 9999.9, 0,  973.7, 7,   2.5, 7,   1.2, 7,   1.9, 999.9,   72.7*,  49.5 , 0.47G,999.9, 000000,
420560,99999, 20200316,   64.0, 8,   54.5, 8, 9999.9, 0,  972.3, 8,   2.5, 8,   1.2, 8,   1.9, 999.9,   76.3 ,  51.4 , 0.00G,999.9, 000000,
420560,99999, 20200317,   65.6, 8,   56.7, 8, 9999.9, 0,  972.2, 8,   2.5, 8,   1.5, 8,   1.9, 999.9,   76.6*,  54.7 , 0.00I,999.9, 000000,
420560,99999, 20200318,   67.3, 8,   57.1, 8, 9999.9, 0,  969.9, 8,   2.5, 8,   1.3, 8,   2.9, 999.9,   78.4*,  56.5 , 0.00I,999.9, 000000,
420560,99999, 20200319,   68.9, 8,   54.7, 8, 9999.9, 0,  967.4, 8,   1.7, 8,   1.2, 8,   1.9, 999.9,   78.8*,  57.9 , 0.00I,999.9, 000010,
420560,99999, 20200320,   70.3, 8,   53.7, 8, 9999.9, 0,  967.0, 8,   2.5, 8,   1.2, 8,   2.9, 999.9,   81.7*,  59.4 , 0.00I,999.9, 000000,
420560,99999, 20200321,   66.5, 8,   51.8, 8, 9999.9, 0,  968.4, 8,   2.5, 8,   1.3, 8,   2.9, 999.9,   72.0*,  62.4 , 0.01E,999.9, 010000,
420560,99999, 20200322,   68.5, 8,   54.2, 8, 9999.9, 0,  969.3, 8,   2.5, 8,   1.5, 8,   1.9, 999.9,   79.9*,  55.8 , 0.02G,999.9, 000000,
420560,99999, 20200323,   70.9, 8,   56.7, 8, 9999.9, 0,  968.1, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   82.0*,  60.3 , 0.00G,999.9, 000000,
420560,99999, 20200324,   63.8, 7,   60.3, 7, 9999.9, 0,  968.6, 7,   2.3, 7,   1.4, 7,   1.9, 999.9,   66.2*,  59.0*, 0.04G,999.9, 010000,
420560,99999, 20200325,   65.8, 8,   57.8, 8, 9999.9, 0,  968.7, 8,   2.5, 8,   1.0, 8,   1.9, 999.9,   80.2*,  56.5 , 0.28G,999.9, 000000,
420560,99999, 20200326,   70.3, 8,   57.4, 8, 9999.9, 0,  968.7, 8,   2.5, 8,   0.8, 8,   1.9, 999.9,   80.6*,  57.6 , 0.00G,999.9, 000000,
420560,99999, 20200327,   62.3, 8,   60.8, 8, 9999.9, 0,  968.4, 8,   1.2, 8,   1.2, 8,   2.9, 999.9,   65.5*,  60.4*, 0.20G,999.9, 010000,
420560,99999, 20200328,   66.0, 7,   60.3, 7, 9999.9, 0,  971.6, 7,   2.5, 7,   1.2, 7,   1.9, 999.9,   74.1*,  58.6 , 2.60G,999.9, 000000,
420560,99999, 20200329,   67.2, 8,   55.8, 8, 9999.9, 0,  969.3, 8,   2.5, 8,   1.8, 8,   2.9, 999.9,   77.4*,  54.7 , 0.00G,999.9, 000000,
420560,99999, 20200330,   66.8, 8,   58.1, 8, 9999.9, 0,  968.9, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   76.6*,  55.6 , 0.00I,999.9, 000000,
420560,99999, 20200331,   68.5, 8,   55.8, 8, 9999.9, 0,  968.2, 8,   2.3, 8,   2.5, 8,   4.1, 999.9,   81.7*,  59.4*, 0.00G,999.9, 010000,
420560,99999, 20200401,   69.6, 8,   56.0, 8, 9999.9, 0,  967.9, 8,   2.5, 8,   1.1, 8,   1.9, 999.9,   82.4*,  56.3 , 0.04G,999.9, 000000,
420560,99999, 20200402,   68.8, 8,   49.3, 8, 9999.9, 0,  968.2, 8,   2.5, 8,   1.6, 8,   2.9, 999.9,   79.9*,  58.3*, 0.00G,999.9, 000000,
420560,99999, 20200403,   67.6, 8,   51.1, 8, 9999.9, 0,  968.4, 8,   2.5, 8,   0.8, 8,   1.9, 999.9,   79.5*,  53.8 , 0.00I,999.9, 000000,
420560,99999, 20200404,   70.4, 8,   53.6, 8, 9999.9, 0,  968.4, 8,   2.5, 8,   1.3, 8,   1.9, 999.9,   82.0*,  56.5 , 0.00I,999.9, 000000,
