STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
428070,99999, 20200101,   65.6, 8,   57.7, 8, 1019.5, 8, 9999.9, 0,   1.4, 8,   0.8, 8,   1.9, 999.9,   75.6*,  53.8 , 0.00I,999.9, 000000,
428070,99999, 20200102,   68.5, 8,   60.4, 8, 1019.6, 7, 9999.9, 0,   1.2, 8,   1.5, 8,   2.9, 999.9,   77.0*,  59.5 , 0.00I,999.9, 000000,
428070,99999, 20200103,   63.5, 8,   62.7, 8, 1017.4, 8, 9999.9, 0,   1.2, 8,   1.8, 8,   5.1, 999.9,   64.0*,  60.4 , 0.35G,999.9, 010000,
428070,99999, 20200104,   63.2, 8,   61.6, 8, 1015.3, 8, 9999.9, 0,   1.0, 8,   0.6, 8,   2.9, 999.9,   66.2*,  60.8*, 0.00G,999.9, 100000,
428070,99999, 20200105,   62.7, 8,   60.8, 8, 1016.5, 8, 9999.9, 0,   0.6, 8,   1.4, 8,   5.1, 999.9,   68.7*,  58.6 , 0.00I,999.9, 100000,
428070,99999, 20200106,   62.6, 8,   56.5, 8, 1018.9, 8, 9999.9, 0,   1.0, 8,   2.0, 8,   5.1, 999.9,   72.7 ,  54.7 , 0.00I,999.9, 100000,
428070,99999, 20200107,   62.0, 8,   56.3, 8, 1016.9, 8, 9999.9, 0,   0.7, 8,   1.4, 8,   5.1, 999.9,   70.9 ,  54.0 , 0.00I,999.9, 100000,
428070,99999, 20200108,   65.5, 8,   57.5, 8, 1015.4, 8, 9999.9, 0,   1.0, 8,   0.8, 8,   4.1, 999.9,   74.1*,  55.9 , 0.00I,999.9, 100000,
428070,99999, 20200109,   65.7, 8,   60.2, 8, 1015.5, 8, 9999.9, 0,   0.8, 8,   0.8, 8,   1.9, 999.9,   72.3*,  59.9 , 0.02E,999.9, 110010,
428070,99999, 20200110,   64.5, 7,   54.8, 7, 1017.0, 7, 9999.9, 0,   1.2, 7,   3.6, 7,   5.1, 999.9,   71.2*,  58.3*, 0.00I,999.9, 000000,
428070,99999, 20200111,   60.9, 7,   53.1, 7, 1017.6, 7, 9999.9, 0,   1.2, 7,   2.4, 7,   4.1, 999.9,   68.4*,  54.5 , 0.00I,999.9, 000000,
428070,99999, 20200112,   62.1, 8,   52.5, 8, 1014.4, 8, 9999.9, 0,   1.3, 8,   1.4, 8,   5.1, 999.9,   71.2*,  54.0 , 0.00I,999.9, 000000,
428070,99999, 20200113,   63.8, 7,   51.6, 7, 1013.2, 7, 9999.9, 0,   1.1, 7,   1.7, 7,   4.1, 999.9,   72.0*,  53.1 , 0.00I,999.9, 000000,
428070,99999, 20200114,   64.8, 8,   53.2, 8, 1013.9, 8, 9999.9, 0,   1.1, 8,   0.6, 8,   1.9, 999.9,   75.9*,  53.8 , 0.00I,999.9, 100000,
428070,99999, 20200115,   67.2, 8,   57.2, 8, 1015.1, 8, 9999.9, 0,   1.0, 8,   0.6, 8,   1.9, 999.9,   78.4*,  56.3 , 0.00I,999.9, 100000,
428070,99999, 20200116,   69.1, 8,   59.3, 8, 1015.0, 8, 9999.9, 0,   1.0, 8,   0.5, 8,   2.9, 999.9,   81.0*,  57.9 , 0.00I,999.9, 000000,
428070,99999, 20200117,   70.2, 8,   60.3, 8, 1015.4, 8, 9999.9, 0,   1.6, 8,   0.5, 8,   1.9, 999.9,   81.7*,  60.1 , 0.00I,999.9, 100000,
428070,99999, 20200118,   69.6, 8,   58.0, 8, 1014.8, 8, 9999.9, 0,   1.6, 8,   1.1, 8,   2.9, 999.9,   81.7*,  60.1 , 0.00I,999.9, 000000,
