STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
423690,99999, 20200101,   55.4,24,   51.2,24, 9999.9, 0, 9999.9, 0,   0.8,24,   1.8,24,   7.0, 999.9,   68.4*,  39.2 , 0.00I,999.9, 100000,
423690,99999, 20200102,   61.9,24,   56.4,24, 9999.9, 0, 9999.9, 0,   0.9,24,   2.5,24,   7.0, 999.9,   74.1*,  47.5 ,99.99 ,999.9, 110000,
423690,99999, 20200103,   57.7,24,   54.8,24, 9999.9, 0, 9999.9, 0,   0.9,24,   3.0,24,   8.0, 999.9,   74.3 ,  51.8*, 0.08G,999.9, 110010,
423690,99999, 20200104,   58.0,24,   54.1,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.4,24,   6.0, 999.9,   68.4 ,  50.2 , 0.55G,999.9, 100000,
423690,99999, 20200105,   57.9,24,   53.7,24, 9999.9, 0, 9999.9, 0,   0.9,24,   3.7,24,   8.0, 999.9,   69.1*,  51.8*, 0.00G,999.9, 100000,
423690,99999, 20200106,   60.5,24,   53.8,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.5,24,   8.0, 999.9,   73.4*,  49.6 , 0.00I,999.9, 100000,
423690,99999, 20200107,   60.5,24,   55.1,24, 9999.9, 0, 9999.9, 0,   1.0,24,   2.6,24,   5.1, 999.9,   73.6 ,  53.6*,99.99 ,999.9, 110000,
423690,99999, 20200108,   56.7,24,   54.9,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.3,24,   9.9, 999.9,   72.3 ,  53.6*, 0.12G,999.9, 110010,
423690,99999, 20200109,   55.7,24,   52.3,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.3,24,  11.1, 999.9,   62.6*,  46.4*, 0.20G,999.9, 100000,
423690,99999, 20200110,   49.0,24,   45.8,24, 9999.9, 0, 9999.9, 0,   0.7,24,   3.2,24,   7.0, 999.9,   65.5 ,  41.0*, 0.00G,999.9, 100000,
423690,99999, 20200111,   50.8,24,   48.2,24, 9999.9, 0, 9999.9, 0,   0.5,24,   1.1,24,   6.0, 999.9,   65.3 ,  41.0 , 0.00I,999.9, 100000,
423690,99999, 20200112,   53.5,24,   49.6,24, 9999.9, 0, 9999.9, 0,   0.7,24,   1.5,24,   6.0, 999.9,   68.4*,  44.6*, 0.00I,999.9, 100000,
423690,99999, 20200113,   51.6,24,   49.8,24, 9999.9, 0, 9999.9, 0,   0.2,24,   3.2,24,   6.0, 999.9,   68.0 ,  43.2 , 0.00I,999.9, 100000,
423690,99999, 20200114,   59.6,24,   54.1,24, 9999.9, 0, 9999.9, 0,   0.8,24,   1.7,24,   4.1, 999.9,   69.8*,  48.7 , 0.00I,999.9, 100000,
423690,99999, 20200115,   59.3,24,   57.1,24, 9999.9, 0, 9999.9, 0,   0.6,24,   1.6,24,   5.1, 999.9,   70.7 ,  53.1 , 0.12E,999.9, 110000,
423690,99999, 20200116,   58.1,24,   57.9,24, 9999.9, 0, 9999.9, 0,   1.1,24,   4.5,24,   8.9, 999.9,   63.0 ,  57.2 , 1.54G,999.9, 010010,
