STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
429210,99999, 20200101,   65.6, 8,   51.7, 8, 1015.1, 8, 9999.9, 0,   2.2, 8,   1.6, 8,   5.1, 999.9,   81.0*,  50.5 , 0.00I,999.9, 000000,
429210,99999, 20200102,   65.3, 8,   55.2, 8, 1016.7, 8, 9999.9, 0,   2.3, 8,   1.4, 8,   4.1, 999.9,   76.1*,  52.9 , 0.00I,999.9, 000000,
429210,99999, 20200103,   63.5, 7,   54.4, 7, 1016.5, 7, 9999.9, 0,   2.3, 7,   1.2, 7,   2.9, 999.9,   77.0*,  52.2 , 0.00I,999.9, 000000,
429210,99999, 20200104,   63.6, 8,   55.0, 8, 1015.2, 8, 9999.9, 0,   2.0, 8,   1.1, 8,   2.9, 999.9,   74.5*,  52.9 , 0.00I,999.9, 000000,
429210,99999, 20200105,   64.0, 8,   51.4, 8, 1016.1, 8, 9999.9, 0,   2.2, 8,   1.8, 8,   2.9, 999.9,   74.3*,  51.1 , 0.00I,999.9, 000000,
429210,99999, 20200106,   67.5, 8,   55.0, 8, 1016.4, 8, 9999.9, 0,   2.5, 8,   1.8, 8,   4.1, 999.9,   79.7*,  52.5 , 0.00I,999.9, 000000,
429210,99999, 20200107,   70.9, 8,   60.4, 8, 1014.2, 8, 9999.9, 0,   2.2, 8,   1.8, 8,   1.9, 999.9,   81.7*,  57.2 , 0.00I,999.9, 000000,
429210,99999, 20200108,   69.0, 8,   58.9, 8, 1014.1, 8, 9999.9, 0,   2.5, 8,   2.5, 8,   5.1, 999.9,   79.2*,  58.3*, 0.00I,999.9, 000000,
429210,99999, 20200109,   63.9, 8,   50.0, 8, 1015.6, 8, 9999.9, 0,   2.2, 8,   1.8, 8,   2.9, 999.9,   74.7*,  50.4 , 0.00I,999.9, 000000,
429210,99999, 20200110,   63.3, 8,   51.1, 8, 1016.8, 8, 9999.9, 0,   2.5, 8,   2.2, 8,   4.1, 999.9,   72.9*,  51.4 , 0.00I,999.9, 000000,
429210,99999, 20200111,   66.5, 6,   55.5, 6, 1016.9, 6, 9999.9, 0,   2.1, 6,   2.5, 6,   4.1, 999.9,   79.7*,  54.5 , 0.00I,999.9, 000000,
429210,99999, 20200112,   71.3, 7,   59.5, 7, 1015.0, 7, 9999.9, 0,   2.5, 7,   1.0, 7,   2.9, 999.9,   81.5*,  59.9*, 0.00I,999.9, 000000,
429210,99999, 20200113,   70.5, 7,   61.1, 7, 1012.9, 7, 9999.9, 0,   2.1, 7,   1.7, 7,   4.1, 999.9,   80.1*,  59.9 , 0.00I,999.9, 000000,
429210,99999, 20200114,   68.7, 8,   59.4, 8, 1013.6, 8, 9999.9, 0,   2.3, 8,   2.0, 8,   6.0, 999.9,   77.0*,  59.0 , 0.00I,999.9, 000000,
429210,99999, 20200115,   65.4, 8,   54.2, 8, 1013.7, 8, 9999.9, 0,   2.2, 8,   2.0, 8,   5.1, 999.9,   74.7*,  56.1 , 0.00I,999.9, 000000,
429210,99999, 20200116,   60.8, 8,   46.0, 8, 1015.1, 8, 9999.9, 0,   2.5, 8,   2.0, 8,   6.0, 999.9,   70.9*,  49.6 , 0.00I,999.9, 000000,
429210,99999, 20200117,   59.2, 8,   40.7, 8, 1016.1, 8, 9999.9, 0,   2.2, 8,   0.5, 8,   1.9, 999.9,   74.5*,  42.8 , 0.00I,999.9, 000000,
429210,99999, 20200118,   64.6, 8,   48.9, 8, 1015.4, 8, 9999.9, 0,   2.5, 8,   0.7, 8,   1.9, 999.9,   79.7*,  46.0 , 0.00I,999.9, 000000,
429210,99999, 20200119,   67.1, 8,   55.1, 8, 1015.8, 8, 9999.9, 0,   2.3, 8,   0.8, 8,   4.1, 999.9,   81.5*,  51.8 , 0.00I,999.9, 000000,
429210,99999, 20200120,   69.2, 8,   54.9, 8, 1015.5, 8, 9999.9, 0,   2.5, 8,   1.2, 8,   4.1, 999.9,   83.5*,  54.9 , 0.00I,999.9, 000000,
429210,99999, 20200121,   71.7, 8,   57.4, 8, 1015.5, 8, 9999.9, 0,   2.2, 8,   1.1, 8,   2.9, 999.9,   86.4*,  56.3 , 0.00I,999.9, 000000,
429210,99999, 20200122,   72.7, 8,   58.7, 8, 1016.2, 8, 9999.9, 0,   2.3, 8,   0.5, 8,   1.9, 999.9,   85.3*,  59.0 , 0.00I,999.9, 000000,
429210,99999, 20200123,   71.4, 8,   58.4, 8, 1016.2, 8, 9999.9, 0,   2.3, 8,   1.0, 8,   1.9, 999.9,   82.8*,  59.0 , 0.00I,999.9, 000000,
429210,99999, 20200124,   71.9, 8,   56.9, 8, 1015.5, 8, 9999.9, 0,   2.5, 8,   1.0, 8,   1.9, 999.9,   84.2*,  58.8 , 0.00I,999.9, 000000,
429210,99999, 20200125,   72.8, 8,   57.1, 8, 1014.8, 8, 9999.9, 0,   2.2, 8,   0.8, 8,   2.9, 999.9,   86.0*,  57.9 , 0.00I,999.9, 000000,
429210,99999, 20200126,   74.1, 8,   55.1, 8, 1014.1, 8, 9999.9, 0,   2.3, 8,   0.5, 8,   1.9, 999.9,   88.9*,  57.4 , 0.00I,999.9, 000000,
429210,99999, 20200127,   70.9, 8,   51.7, 8, 1012.0, 8, 9999.9, 0,   2.3, 8,   2.0, 8,   6.0, 999.9,   86.4*,  59.0 , 0.00I,999.9, 000000,
429210,99999, 20200128,   66.9, 8,   57.4, 8, 1013.4, 8, 9999.9, 0,   2.3, 8,   3.5, 8,   6.0, 999.9,   75.6*,  58.1 , 0.00I,999.9, 000000,
