STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
431920,99999, 20200101,   78.1, 8,   69.0, 8, 1013.0, 8, 9999.9, 0,   2.5, 8,   0.9, 8,   5.1, 999.9,   88.9 ,  68.7 , 0.00I,999.9, 000000,
431920,99999, 20200102,   78.8, 8,   69.1, 8, 1014.3, 8, 9999.9, 0,   2.5, 8,   3.1, 8,   8.0, 999.9,   88.9*,  70.3 , 0.00I,999.9, 000000,
431920,99999, 20200103,   77.2, 8,   67.4, 8, 1013.0, 8, 9999.9, 0,   2.5, 8,   1.4, 8,   5.1, 999.9,   88.9*,  69.4 , 0.00I,999.9, 000000,
431920,99999, 20200104,   74.8, 8,   64.4, 8, 1012.7, 8, 9999.9, 0,   2.5, 8,   3.8, 8,   8.0, 999.9,   89.8 ,  67.3*, 0.00I,999.9, 000000,
431920,99999, 20200105,   75.4, 8,   65.6, 8, 1011.8, 8, 9999.9, 0,   2.5, 8,   1.5, 8,   4.1, 999.9,   85.6*,  65.5 , 0.00I,999.9, 000000,
431920,99999, 20200106,   81.2, 8,   72.3, 8, 1012.5, 8, 9999.9, 0,   2.5, 8,   1.3, 8,   4.1, 999.9,   92.8*,  69.8 , 0.00I,999.9, 000000,
431920,99999, 20200107,   82.0, 8,   73.6, 8, 1012.1, 8, 9999.9, 0,   2.5, 8,   1.8, 8,   4.1, 999.9,   89.6*,  75.7 , 0.00I,999.9, 000000,
431920,99999, 20200108,   80.6, 8,   72.1, 8, 1012.0, 8, 9999.9, 0,   2.5, 8,   0.2, 8,   1.9, 999.9,   91.4 ,  74.1*, 0.00I,999.9, 000000,
431920,99999, 20200109,   78.9, 8,   70.2, 8, 1012.1, 8, 9999.9, 0,   2.5, 8,   0.0, 8, 999.9, 999.9,   88.9*,  71.2 , 0.00I,999.9, 000000,
431920,99999, 20200110,   79.7, 8,   71.8, 8, 1011.8, 8, 9999.9, 0,   2.5, 8,   0.5, 8,   1.9, 999.9,   90.3*,  71.1 , 0.00I,999.9, 000000,
431920,99999, 20200111,   79.8, 6,   70.1, 6, 1012.9, 6, 9999.9, 0,   2.5, 6,   1.0, 6,   6.0, 999.9,   90.0*,  73.0 , 0.00I,999.9, 000000,
431920,99999, 20200112,   79.2, 8,   69.0, 8, 1012.7, 8, 9999.9, 0,   2.5, 8,   2.2, 8,   4.1, 999.9,   90.7*,  70.3 , 0.00I,999.9, 000000,
431920,99999, 20200113,   80.8, 6,   69.6, 6, 1011.4, 6, 9999.9, 0,   2.5, 6,   0.6, 6,   1.9, 999.9,   89.6*,  70.5 , 0.00I,999.9, 000000,
431920,99999, 20200114,   79.0, 8,   70.0, 8, 1010.7, 8, 9999.9, 0,   2.5, 8,   1.1, 8,   5.1, 999.9,   90.0 ,  70.9 , 0.00I,999.9, 000000,
431920,99999, 20200115,   77.3, 8,   68.5, 8, 1011.5, 8, 9999.9, 0,   2.5, 8,   2.9, 8,   8.0, 999.9,   89.6 ,  70.5 , 0.00I,999.9, 000000,
431920,99999, 20200116,   76.0, 8,   62.4, 8, 1012.5, 8, 9999.9, 0,   2.5, 8,   2.1, 8,   4.1, 999.9,   88.3 ,  67.6 , 0.00I,999.9, 000000,
431920,99999, 20200117,   73.4, 8,   59.3, 8, 1012.9, 8, 9999.9, 0,   2.5, 8,   2.5, 8,   5.1, 999.9,   84.9*,  64.9 , 0.00I,999.9, 000000,
431920,99999, 20200118,   75.4, 8,   64.9, 8, 1011.5, 8, 9999.9, 0,   2.5, 8,   1.1, 8,   2.9, 999.9,   86.7*,  64.8 , 0.00I,999.9, 000000,
431920,99999, 20200119,   78.7, 8,   70.7, 8, 1012.0, 8, 9999.9, 0,   2.5, 8,   1.4, 8,   5.1, 999.9,   89.6 ,  69.8 , 0.00I,999.9, 000000,
431920,99999, 20200120,   80.5, 8,   72.3, 8, 1012.1, 8, 9999.9, 0,   2.5, 8,   1.0, 8,   2.9, 999.9,   88.5*,  72.1 , 0.00I,999.9, 000000,
431920,99999, 20200121,   81.1, 8,   72.1, 8, 1012.8, 8, 9999.9, 0,   2.5, 8,   1.6, 8,   4.1, 999.9,   91.4*,  72.5 , 0.00I,999.9, 000000,
431920,99999, 20200122,   80.7, 8,   68.6, 8, 1013.1, 8, 9999.9, 0,   2.5, 8,   1.9, 8,   2.9, 999.9,   92.5*,  71.4 , 0.00I,999.9, 000000,
431920,99999, 20200123,   82.0, 8,   69.2, 8, 1012.3, 8, 9999.9, 0,   2.5, 8,   2.3, 8,   2.9, 999.9,   96.8*,  71.8 , 0.00I,999.9, 000000,
431920,99999, 20200124,   81.2, 8,   68.4, 8, 1012.3, 8, 9999.9, 0,   2.5, 8,   1.8, 8,   4.1, 999.9,   97.2 ,  70.5 , 0.00I,999.9, 000000,
431920,99999, 20200125,   80.2, 8,   69.8, 8, 1012.1, 8, 9999.9, 0,   2.5, 8,   1.7, 8,   5.1, 999.9,   94.3*,  70.3 , 0.00I,999.9, 000000,
431920,99999, 20200126,   80.3, 8,   70.0, 8, 1011.4, 8, 9999.9, 0,   2.5, 8,   1.6, 8,   2.9, 999.9,   90.7*,  69.8 , 0.00I,999.9, 000000,
431920,99999, 20200127,   79.6, 8,   71.8, 8, 1011.6, 8, 9999.9, 0,   2.5, 8,   2.1, 8,   5.1, 999.9,   88.9 ,  72.1 , 0.00I,999.9, 000000,
431920,99999, 20200128,   79.1, 8,   71.4, 8, 1012.3, 8, 9999.9, 0,   2.5, 8,   2.6, 8,   5.1, 999.9,   88.9 ,  71.6 , 0.00I,999.9, 000000,
431920,99999, 20200129,   78.1, 8,   68.2, 8, 1013.6, 8, 9999.9, 0,   2.5, 8,   2.8, 8,   4.1, 999.9,   89.2 ,  70.3 , 0.00I,999.9, 000000,
431920,99999, 20200130,   76.2, 8,   66.1, 8, 1013.2, 8, 9999.9, 0,   2.5, 8,   3.1, 8,   8.0, 999.9,   89.6 ,  68.0 , 0.00I,999.9, 000000,
