STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
424920,99999, 20200101,   59.4,24,   56.2,24, 9999.9, 0, 9999.9, 0,   0.7,24,   1.4,24,   5.1, 999.9,   69.8*,  47.1 ,99.99 ,999.9, 110000,
424920,99999, 20200102,   59.7,24,   57.0,24, 9999.9, 0, 9999.9, 0,   0.7,24,   1.2,24,   5.1, 999.9,   68.0*,  51.1 , 0.00G,999.9, 100000,
424920,99999, 20200103,   61.5,24,   59.3,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.1,24,   6.0, 999.9,   71.6*,  53.6 , 0.00E,999.9, 100000,
424920,99999, 20200104,   58.1,24,   57.8,24, 9999.9, 0, 9999.9, 0,   0.9,24,   2.3,24,   7.0, 999.9,   64.4*,  51.8*, 0.00G,999.9, 100000,
424920,99999, 20200105,   56.9,24,   56.2,24, 9999.9, 0, 9999.9, 0,   1.0,24,   4.7,24,   8.9, 999.9,   64.4*,  50.0*, 0.00I,999.9, 100000,
424920,99999, 20200106,   55.9,24,   54.8,24, 9999.9, 0, 9999.9, 0,   0.7,24,   1.2,24,   5.1, 999.9,   63.3*,  49.3 , 0.00I,999.9, 100000,
424920,99999, 20200107,   57.4,24,   55.7,24, 9999.9, 0, 9999.9, 0,   0.6,24,   0.6,24,   4.1, 999.9,   68.0*,  48.2*, 0.00I,999.9, 100000,
424920,99999, 20200108,   59.9,24,   58.5,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.4,24,   8.0, 999.9,   68.0*,  49.6 ,99.99 ,999.9, 110010,
424920,99999, 20200109,   60.9,24,   60.5,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.0,24,   8.0, 999.9,   68.0*,  55.4*, 0.59G,999.9, 110000,
424920,99999, 20200110,   57.5,24,   56.6,24, 9999.9, 0, 9999.9, 0,   1.1,24,   4.8,24,   7.0, 999.9,   64.4*,  48.2*, 0.00G,999.9, 100000,
424920,99999, 20200111,   55.1,23,   50.7,23, 9999.9, 0, 9999.9, 0,   1.4,23,   2.8,23,   8.0, 999.9,   65.1*,  46.4*, 0.00I,999.9, 000000,
424920,99999, 20200112,   51.1,24,   50.7,24, 9999.9, 0, 9999.9, 0,   0.6,24,   2.2,24,   6.0, 999.9,   59.0*,  46.4*, 0.00I,999.9, 100000,
424920,99999, 20200113,   49.7,23,   49.2,23, 9999.9, 0, 9999.9, 0,   0.3,23,   1.5,23,   5.1, 999.9,   57.2*,  42.8*, 0.00I,999.9, 100000,
424920,99999, 20200114,   53.5,24,   53.1,24, 9999.9, 0, 9999.9, 0,   0.4,24,   0.9,24,   5.1, 999.9,   62.6*,  42.8*, 0.00I,999.9, 100000,
424920,99999, 20200115,   57.4,24,   56.7,24, 9999.9, 0, 9999.9, 0,   0.7,24,   0.3,24,   5.1, 999.9,   68.4*,  48.2*, 0.00I,999.9, 100000,
424920,99999, 20200116,   64.1,24,   60.7,24, 9999.9, 0, 9999.9, 0,   1.3,24,   3.9,24,   8.0, 999.9,   75.6*,  50.0*, 0.00I,999.9, 100000,
424920,99999, 20200117,   67.6,24,   64.8,24, 9999.9, 0, 9999.9, 0,   0.9,24,   2.5,24,   8.0, 999.9,   77.4*,  59.5 ,99.99 ,999.9, 010000,
