STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
432790,99999, 20200101,   78.2,24,   75.6,24, 9999.9, 0, 9999.9, 0,   2.3,24,   3.0,24,   7.0, 999.9,   86.5 ,  72.5 , 1.10G,999.9, 010010,
432790,99999, 20200102,   81.6,24,   76.2,24, 9999.9, 0, 9999.9, 0,   2.8,24,   3.6,24,   8.9, 999.9,   87.8*,  74.1 , 1.30G,999.9, 000000,
432790,99999, 20200103,   82.3,24,   76.2,24, 9999.9, 0, 9999.9, 0,   3.0,24,   4.2,24,   9.9, 999.9,   88.2 ,  75.2 , 0.00G,999.9, 100000,
432790,99999, 20200104,   82.4,24,   76.5,24, 9999.9, 0, 9999.9, 0,   2.7,24,   4.8,24,   8.9, 999.9,   88.2 ,  76.1 , 0.00I,999.9, 100000,
432790,99999, 20200105,   81.9,24,   75.1,24, 9999.9, 0, 9999.9, 0,   3.3,24,   5.7,24,   8.9, 999.9,   88.9 ,  75.2*, 0.00G,999.9, 010000,
432790,99999, 20200106,   80.7,24,   74.6,24, 9999.9, 0, 9999.9, 0,   2.9,24,   6.8,24,  13.0, 999.9,   87.8*,  74.5 , 0.03G,999.9, 010000,
432790,99999, 20200107,   81.4,24,   73.1,24, 9999.9, 0, 9999.9, 0,   3.0,24,   7.8,24,  13.0, 999.9,   86.2 ,  75.2*, 0.08G,999.9, 000000,
432790,99999, 20200108,   78.4,24,   69.4,24, 9999.9, 0, 9999.9, 0,   3.0,24,   4.8,24,   9.9, 999.9,   86.4 ,  70.5*, 0.00G,999.9, 000000,
432790,99999, 20200109,   77.7,24,   68.4,24, 9999.9, 0, 9999.9, 0,   3.1,24,   3.5,24,   8.0, 999.9,   87.8*,  68.5 , 0.00I,999.9, 000000,
432790,99999, 20200110,   77.9,24,   66.6,24, 9999.9, 0, 9999.9, 0,   3.1,24,   4.3,24,  12.0, 999.9,   86.0*,  67.8 , 0.00I,999.9, 000000,
432790,99999, 20200111,   78.3,23,   68.1,23, 9999.9, 0, 9999.9, 0,   2.7,23,   3.6,23,  11.1, 999.9,   86.4 ,  69.1 , 0.00I,999.9, 000000,
432790,99999, 20200112,   78.3,24,   71.3,24, 9999.9, 0, 9999.9, 0,   2.1,24,   4.5,24,  14.0, 999.9,   86.0*,  72.7*, 0.00I,999.9, 000000,
432790,99999, 20200113,   76.5,24,   67.5,24, 9999.9, 0, 9999.9, 0,   1.9,24,   4.0,24,   9.9, 999.9,   86.0*,  68.0*, 0.00I,999.9, 000000,
432790,99999, 20200114,   76.5,24,   65.4,24, 9999.9, 0, 9999.9, 0,   2.4,24,   3.6,24,   9.9, 999.9,   85.5 ,  64.8 , 0.00I,999.9, 100000,
432790,99999, 20200115,   78.3,24,   65.3,24, 9999.9, 0, 9999.9, 0,   2.9,24,   4.3,24,   9.9, 999.9,   87.8*,  68.0 , 0.00I,999.9, 000000,
432790,99999, 20200116,   78.4,24,   67.9,24, 9999.9, 0, 9999.9, 0,   3.4,24,   4.6,24,   9.9, 999.9,   89.6*,  68.4 , 0.00I,999.9, 000000,
432790,99999, 20200117,   80.0,24,   72.0,24, 9999.9, 0, 9999.9, 0,   3.3,24,   7.4,24,  14.0, 999.9,   86.2 ,  69.4 ,99.99 ,999.9, 010000,
432790,99999, 20200118,   80.8,24,   73.1,24, 9999.9, 0, 9999.9, 0,   3.4,24,   6.6,24,  13.0,  22.9,   86.0*,  76.3 ,99.99 ,999.9, 010000,
432790,99999, 20200119,   80.9,24,   70.5,24, 9999.9, 0, 9999.9, 0,   3.7,24,   5.2,24,   9.9, 999.9,   87.8*,  73.4*, 0.00I,999.9, 000000,
432790,99999, 20200120,   79.9,24,   69.7,24, 9999.9, 0, 9999.9, 0,   3.5,24,   4.9,24,  11.1, 999.9,   89.6*,  70.9 , 0.00I,999.9, 000000,
