STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
433330,99999, 20200101,   82.5, 8,   75.2, 8, 1014.5, 8, 9999.9, 0,   1.2, 8,   7.1, 8,   9.9, 999.9,   86.0*,  79.3 , 0.00I,999.9, 000000,
433330,99999, 20200102,   82.4, 8,   74.4, 8, 1015.1, 8, 9999.9, 0,   1.7, 8,   6.3, 8,   9.9, 999.9,   85.3*,  79.9*, 0.00I,999.9, 000000,
433330,99999, 20200103,   82.2, 8,   73.4, 8, 1013.5, 8, 9999.9, 0,   1.7, 8,   6.2, 8,   9.9, 999.9,   85.6*,  79.3 , 0.00I,999.9, 000000,
433330,99999, 20200104,   82.3, 8,   73.8, 8, 1011.7, 8, 9999.9, 0,   1.7, 8,   4.4, 8,   8.0, 999.9,   86.0*,  78.8 , 0.00I,999.9, 000000,
433330,99999, 20200105,   82.1, 8,   74.5, 8, 1012.5, 8, 9999.9, 0,   1.7, 8,   3.1, 8,   5.1, 999.9,   86.0*,  78.4*, 0.00I,999.9, 000000,
433330,99999, 20200106,   81.6, 8,   73.2, 8, 1013.0, 8, 9999.9, 0,   1.7, 8,   8.1, 8,  11.1, 999.9,   86.0*,  78.3 , 0.04G,999.9, 000000,
433330,99999, 20200107,   80.4, 8,   72.5, 8, 1012.3, 8, 9999.9, 0,   5.5, 8,   6.6, 8,   9.9, 999.9,   84.2*,  76.3 , 0.00G,999.9, 000000,
433330,99999, 20200108,   81.0, 8,   72.2, 8, 1011.5, 8, 9999.9, 0,   1.9, 8,   6.0, 8,   8.9, 999.9,   85.6*,  76.6 , 0.00I,999.9, 000000,
433330,99999, 20200109,   81.1, 8,   73.9, 8, 1011.5, 8, 9999.9, 0,   1.6, 8,   4.9, 8,   8.0, 999.9,   86.7*,  75.0 , 0.00I,999.9, 000000,
433330,99999, 20200110,   79.8, 8,   71.4, 8, 1011.6, 8, 9999.9, 0,   1.6, 8,   2.8, 8,   8.0, 999.9,   84.9*,  74.5*, 0.00I,999.9, 000000,
