STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
425160,99999, 20200101,   54.1, 6,   43.3, 6, 9999.9, 0,  846.2, 6,   1.1, 6,   0.8, 6,   1.0, 999.9,   59.7*,  44.6 , 0.00I,999.9, 000000,
425160,99999, 20200102,   53.8, 6,   47.3, 6, 9999.9, 0,  847.0, 6,   1.1, 6,   0.6, 6,   1.9, 999.9,   57.9*,  46.4 , 0.00I,999.9, 000000,
425160,99999, 20200103,   48.5, 6,   44.8, 6, 9999.9, 0,  843.2, 6,   0.8, 6,   1.0, 6,   1.0, 999.9,   51.1*,  45.1 , 0.24G,999.9, 010000,
425160,99999, 20200104,   48.7, 6,   46.8, 6, 9999.9, 0,  840.6, 6,   1.0, 6,   0.2, 6,   1.0, 999.9,   50.7*,  42.8 , 0.35G,999.9, 010000,
425160,99999, 20200105,   46.4, 6,   41.2, 6, 9999.9, 0,  839.9, 6,   0.9, 6,   0.6, 6,   2.9, 999.9,   49.6*,  39.4 , 0.01G,999.9, 010000,
425160,99999, 20200106,   45.1, 6,   34.8, 6, 9999.9, 0,  842.9, 6,   1.0, 6,   0.0, 6, 999.9, 999.9,   49.3*,  35.1 , 0.04G,999.9, 000000,
425160,99999, 20200107,   48.5, 6,   43.4, 6, 9999.9, 0,  840.4, 6,   1.3, 6,   0.2, 6,   1.0, 999.9,   53.6*,  37.0 , 0.00G,999.9, 000000,
425160,99999, 20200108,   50.7, 6,   43.8, 6, 9999.9, 0,  841.0, 6,   1.1, 6,   0.0, 6, 999.9, 999.9,   56.8*,  40.3 , 0.00I,999.9, 000000,
425160,99999, 20200109,   51.9, 6,   41.7, 6, 9999.9, 0,  841.1, 6,   1.1, 6,   0.5, 6,   1.0, 999.9,   56.8*,  45.5 , 0.00I,999.9, 000000,
425160,99999, 20200110,   48.3, 6,   42.4, 6, 9999.9, 0,  841.3, 6,   1.0, 6,   0.2, 6,   1.0, 999.9,   52.5*,  39.4 , 0.00I,999.9, 000000,
425160,99999, 20200111,   50.6, 5,   40.9, 5, 9999.9, 0,  841.3, 5,   1.3, 5,   0.8, 5,   1.9, 999.9,   56.8 ,  39.4 , 0.00I,999.9, 000000,
425160,99999, 20200112,   51.8, 5,   42.5, 5, 9999.9, 0,  839.9, 5,   1.3, 5,   1.0, 5,   1.9, 999.9,   57.9*,  39.0 , 0.00I,999.9, 000000,
425160,99999, 20200113,   53.8, 6,   43.6, 6, 9999.9, 0,  838.4, 6,   1.5, 6,   0.6, 6,   2.9, 999.9,   60.8*,  41.2 , 0.00I,999.9, 000000,
425160,99999, 20200114,   52.3, 6,   48.1, 6, 9999.9, 0,  839.7, 6,   0.8, 6,   0.5, 6,   1.9, 999.9,   58.6*,  43.0 , 0.00I,999.9, 000000,
425160,99999, 20200115,   52.8, 6,   48.0, 6, 9999.9, 0,  841.3, 6,   0.7, 6,   0.3, 6,   1.0, 999.9,   59.7*,  42.3 , 0.00I,999.9, 000000,
425160,99999, 20200116,   53.5, 6,   47.8, 6, 9999.9, 0,  841.9, 6,   1.0, 6,   0.3, 6,   1.0, 999.9,   60.4*,  43.3 , 0.00I,999.9, 000000,
425160,99999, 20200117,   54.3, 6,   45.5, 6, 9999.9, 0,  843.0, 6,   1.4, 6,   0.8, 6,   1.9, 999.9,   61.2*,  44.8 , 0.00I,999.9, 000000,
425160,99999, 20200118,   54.3, 6,   46.0, 6, 9999.9, 0,  842.0, 6,   1.0, 6,   0.2, 6,   1.0, 999.9,   60.4*,  44.8 , 0.00I,999.9, 100000,
425160,99999, 20200119,   55.9, 6,   41.7, 6, 9999.9, 0,  841.3, 6,   1.1, 6,   1.8, 6,   2.9, 999.9,   63.3*,  46.2 , 0.00E,999.9, 000000,
425160,99999, 20200120,   51.1, 6,   41.2, 6, 9999.9, 0,  841.0, 6,   0.7, 6,   1.5, 6,   1.9, 999.9,   57.9*,  42.8*, 0.02G,999.9, 000000,
425160,99999, 20200121,   49.5, 6,   27.3, 6, 9999.9, 0,  842.6, 6,   1.6, 6,   1.3, 6,   2.9, 999.9,   55.8*,  36.3 , 0.00G,999.9, 000000,
425160,99999, 20200122,   50.4, 6,   31.9, 6, 9999.9, 0,  842.1, 6,   1.1, 6,   1.0, 6,   1.9, 999.9,   57.2*,  38.3 , 0.00I,999.9, 000000,
