STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
420830,99999, 20200101,   43.4, 4,   21.7, 4, 9999.9, 0,  799.5, 4,   2.5, 4,   0.7, 4,   2.9, 999.9,   54.3 ,  34.5 , 0.00I,999.9, 000000,
420830,99999, 20200103,   43.6, 4,   30.1, 4, 9999.9, 0,  797.5, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   52.2 ,  34.0 , 0.00G,999.9, 000000,
420830,99999, 20200104,   36.1, 4,   31.0, 4, 9999.9, 0,  796.0, 4,   2.0, 4,   0.0, 4, 999.9, 999.9,   52.5 ,  33.1*, 0.24A,999.9, 001000,
420830,99999, 20200105,   38.7, 4, 9999.9, 0, 9999.9, 0,  795.3, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   42.4*,  30.7 , 0.00I,999.9, 000000,
420830,99999, 20200106,   37.0, 4,   34.4, 4, 9999.9, 0,  797.0, 4,   0.8, 4,   0.0, 4, 999.9, 999.9,   43.5 ,  33.4 , 0.02G,999.9, 011000,
420830,99999, 20200108,   32.3, 4,   31.4, 4, 9999.9, 0,  792.4, 4,   0.2, 4,   0.0, 4, 999.9, 999.9,   41.0 ,  31.1 , 1.26G,999.9, 001000,
420830,99999, 20200110,   41.9, 4,   18.1, 4, 9999.9, 0, 9999.9, 0,   6.2, 4,   0.0, 4, 999.9, 999.9,   47.5 ,  29.7 , 0.00I,999.9, 000000,
420830,99999, 20200111,   48.5, 4,   23.3, 4, 9999.9, 0,  797.8, 4,   5.3, 4,   1.0, 4,   1.9, 999.9,   53.6 ,  37.4 , 0.00I,999.9, 000000,
420830,99999, 20200112,   53.1, 4,   35.7, 4, 9999.9, 0,  797.9, 4,   2.5, 4,   1.5, 4,   4.1, 999.9,   60.3 ,  41.2 , 0.00I,999.9, 000000,
420830,99999, 20200114,   46.0, 4,   36.4, 4, 9999.9, 0,  794.1, 4,   2.0, 4,   1.0, 4,   1.9, 999.9,   52.9*,  34.3 , 0.71G,999.9, 100000,
