STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
433710,99999, 20200101,   82.3, 8,   75.2, 8, 1012.3, 7, 1005.1, 8,   2.5, 8,   0.2, 8,   1.9, 999.9,   90.5 ,  75.2 , 0.00I,999.9, 000000,
433710,99999, 20200102,   82.7, 8,   75.2, 8, 1013.2, 8, 1005.9, 8,   3.4, 8,   0.6, 8,   1.9, 999.9,   90.9 ,  75.7 , 0.00I,999.9, 000000,
433710,99999, 20200103,   83.8, 7,   75.4, 7, 1012.3, 7, 1005.1, 7,   4.1, 7,   0.0, 7, 999.9, 999.9,   91.0 ,  75.4 , 0.00I,999.9, 000000,
433710,99999, 20200104,   82.9, 8,   76.1, 8, 1011.1, 8, 1003.9, 8,   3.0, 8,   0.7, 8,   2.9, 999.9,   92.1 ,  76.5 , 2.80E,999.9, 010010,
433710,99999, 20200105,   82.4, 8,   76.5, 8, 1010.5, 8, 1003.3, 8,   3.3, 8,   0.5, 8,   2.9, 999.9,   92.5 ,  76.1 , 0.00I,999.9, 000000,
433710,99999, 20200106,   83.3, 8,   76.1, 8, 1011.4, 8, 1004.2, 8,   3.4, 8,   0.2, 8,   1.9, 999.9,   90.7*,  76.5 , 0.00I,999.9, 000000,
433710,99999, 20200107,   83.5, 8,   74.7, 8, 1011.1, 8, 1003.9, 8,   3.4, 8,   0.5, 8,   1.9, 999.9,   91.9 ,  75.6 , 0.00I,999.9, 000000,
433710,99999, 20200108,   81.4, 8,   74.6, 8, 1011.5, 8, 1004.3, 8,   4.3, 8,   0.6, 8,   2.9, 999.9,   91.9 ,  76.6 , 0.31G,999.9, 010000,
433710,99999, 20200109,   81.0, 8,   73.8, 8, 1011.2, 8, 1003.9, 8,   3.9, 8,   0.2, 8,   1.0, 999.9,   90.1 ,  74.1 , 0.00G,999.9, 000000,
433710,99999, 20200110,   81.1, 8,   73.5, 8, 1011.4, 8, 1004.2, 8,   3.9, 8,   0.5, 8,   1.9, 999.9,   90.3 ,  73.4 , 0.00I,999.9, 000000,
433710,99999, 20200111,   80.6, 8,   67.7, 8, 1011.3, 8, 1004.1, 8,   3.7, 8,   1.3, 8,   2.9, 999.9,   92.8 ,  70.9 , 0.00I,999.9, 000000,
433710,99999, 20200112,   80.9, 8,   67.2, 8, 1011.1, 8, 1003.9, 8,   3.9, 8,   1.0, 8,   4.1, 999.9,   92.8 ,  72.1 , 0.00I,999.9, 000000,
433710,99999, 20200113,   80.6, 7,   70.9, 7, 1011.1, 7, 1003.9, 7,   3.6, 7,   0.4, 7,   1.9, 999.9,   93.0 ,  70.7 , 0.00I,999.9, 000000,
433710,99999, 20200114,   81.1, 8,   71.7, 8, 1010.4, 8, 1003.1, 8,   3.9, 8,   0.0, 8, 999.9, 999.9,   90.5 ,  73.0 , 0.00I,999.9, 000000,
433710,99999, 20200115,   79.7, 8,   70.7, 8, 1010.7, 8, 1003.6, 8,   3.0, 8,   0.6, 8,   2.9, 999.9,   91.6 ,  71.6 , 0.00I,999.9, 000000,
433710,99999, 20200116,   80.6, 8,   69.1, 8, 1011.1, 8, 1003.9, 8,   3.4, 8,   0.6, 8,   2.9, 999.9,   89.2 ,  71.8 , 0.00I,999.9, 000000,
433710,99999, 20200117,   81.2, 8,   70.5, 8, 1010.9, 8, 1003.7, 8,   3.9, 8,   1.0, 8,   4.1, 999.9,   89.8 ,  71.8 , 0.00I,999.9, 000000,
433710,99999, 20200118,   83.1, 8,   73.8, 8, 1010.5, 8, 1003.2, 8,   3.9, 8,   0.7, 8,   2.9, 999.9,   91.6 ,  74.5 , 0.00I,999.9, 000000,
